"Group","SHA1","ID","Folder","FileName","Title","Media Filename","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"@",,"04aa9c515c2ede8fdf37b29e69c44481f8a8630c","@","@","DuckTales","@","","","1990","Capcom","eu","","","","","","","","",""
"@",,"04b249cb5981c67ab979e8b575c4dd70abbe02eb","@","@","Shisenshou: Match-Mania","@","","","1990","Tamtex","jp","b","b 1","","","","","","",""
"@",,"04b4ef496e498c781fbb76e259f3f760550af34f","@","@","Bionic Commando","@","","","1992","Capcom","eu,us","b","b 7","","","","","","",""
"@",,"04b8ee7d8e08b9bf3a1b2951117578e00080341e","@","@","Gradius: The Interstellar Assault","@","","","1991","Konami","@","b","b 4","","","","","","",""
"@",,"04f3cc79ba246d9e4654c44be771ce39ee3a08ea","@","@","Q-bert for Game Boy","@","","","1992","Jaleco","eu,us","","","","","es","","","",""
"@",,"04f3fff7c7baa3eaec069563cd2e5475c231e0eb","@","@","Madden '95","@","","","1994","Electronic Arts","@","b","b 2","","","","","","",""
"@",,"0506deffdf9fee21dda394e272c84fe8df2fbec0","@","@","Pocket Kyoro-chan","@","","","1998","Tomy","jp","","","","","","","","",""
"@",,"051076b587e3259307e565648b4f68c214e10402","@","@","Nemesis II","@","","Language en","1991","Konami","jp","","","","1","","","","",""
"@",,"0511b69969d5d9efe577728b56952c889a219490","@","@","Hudson's Adventure Island II","@","","","1993","Hudson","@","","","","","","","","",""
"@",,"05266f727879963a23dbbcd8c87c68597607f3b8","@","@","Lunar Lander","@","","","1990","Pack-In-Video","jp","","","","","","","","",""
"@",,"0541161b4b93fffc3c75708aca86ea0873747ced","@","@","Pinball Mania","@","","","1995","Gametek","@","","","","","","","","",""
"@",,"05490ab94ae5e01dd02b4a578bfccc5647816408","@","@","Hammerin' Harry: Ghost Building Company","@","","","1993","Irem","eu,us","","","","","","","","",""
"@",,"054b765b8a7f846227afb2f780e5369a6292c832","@","@","Wheel of Fortune","@","","","1990","Gametek","us","a","a 1","","","","","","",""
"@",,"054f7c1c6c2810bda1ad1e9d6cfb16538e5d6377","@","@","Addams Family, The: Pugsley's Scavenger Hunt","@","","","1992","Ocean","@","","","","","pt","","","",""
"@",,"05711638648654e75ca6a563411daec3251c2ef0","@","@","Street Fighter II","@","","v rev0","1995","Capcom","eu,us","","","","","","","","",""
"@",,"057a3251bbb7eb4e04b01f786bd2986af5eabc58","@","@","Chousoku Spinner","@","","","1998","Hudson","jp","","","","","","","","",""
"@",,"057d825e62ec76fd85731136b10120002c12c359","@","@","Medarot: Kuwagata Version","@","","v rev0","1997","Imagineer","jp","b","b 1","","","","","","",""
"@",,"05a12f6352cd0ac062dc66050404aabe1517c274","@","@","Lemmings","@","","v rev0","1993","Ocean","eu,us","b","b 1","","","","","","",""
"@",,"05bb8e99f24d498613930949730afa8024e77d08","@","@","Pokemon: Versione Gialla","@","","","2000","Nintendo","it","","[CGB-SGB]","","","","","","",""
"@",,"05bfa0c00e29fb8d69ef683eddec52e1de57a9ff","@","@","Samurai Spirits","@","","v rev1","1994","Takara","jp","","","","","","","","",""
"@",,"05c885e6b40ed02090d6e9446e3ff78bfa29d3d6","@","@","Nintendo World Cup","@","","","1991","Nintendo","@","b","b 1","","","","","","",""
"@",,"05d112965f0fa079d4ec0ddaada154e2e0f2658c","@","@","FIFA: Road to the World Cup '98","@","","v rev0","1997","THQ","eu,us","b","b 2","","","","","","",""
"@",,"0610b5b292cb8fc8603ed365a6942baa0bb2dcac","@","@","Pokemon: Blue Version","@","","","1998","Nintendo","eu,us","a","a 1","","","pt","","","",""
"@",,"0615b132ced871d102a43308e911d22c1eb5eb17","@","@","Wizardry Gaiden III: Yami no Seiten","@","","","1993","ASCII","jp","","","1","","","","","",""
"@",,"062129c6d9ef853e977b99a6eea87da42dd86d46","@","@","F1 Pole Position","@","","","1993","Ubisoft","@","b","b 2","","","","","","",""
"@",,"0623ad12f48c259447980d68bd85ddbf8204b2cd","@","@","Pocket Monsters: Red Version","@","","v rev0","1995","Nintendo","jp","","","","","","","","",""
"@",,"0624ab5b45ba9a68a4057eab43971c2b02a25079","@","@","Dr. Franken II","@","","","1993","Motivetime","eu","b","b 1","","","","","","",""
"@",,"0636ff1b0b56adef176208d98c82a964ebea3aa7","@","@","Tokyo Disneyland: Mickey no Cinderella Shiro Mystery Tour","@","","","1995","Tomy","jp","","","","1","","","","",""
"@",,"06385470bb0b4ef6c743ab6a5e7f8d7a97f6100b","@","@","Zidane: Football Generation","@","","","2001","Aqua Pacific - Cryo Interactive","eu","","","","","","","","",""
"@",,"0638c6c66b94e70ba658240be457da5ce913bc8b","@","@","Shogi Saikyou","@","","v rev0","1994","Magical Company","jp","","","","","","","","",""
"@",,"063d0d8167d75230d712746ff12e1046f4ede5b6","@","@","Pokemon: Red Version","@","","","1998","Nintendo","eu,us","","","","","es","","","",""
"@",,"0646bff26350059224a5dca807218ff02a4704af","@","@","Mighty Morphin Power Rangers: The Movie","@","","","1995","Bandai","@","","","","","","","","",""
"@",,"0661ce04696ad0c1b70345c9e880a8b26cc1218a","@","@","Mortal Kombat II","@","","Language en","1994","Acclaim","jp","","","","","","","","",""
"@",,"0674abafb9de841d658d249d06a499c14484f72c","@","@","Kingyo Chuuihou! 2: Gyopichan o Sagase!","@","","","1992","B-AI","jp","","","","","","","","",""
"@",,"06779d2cc0b26d9edff05e0660a4ce67bfa90b7e","@","@","Castlevania II: Belmont's Revenge","@","","","1991","Konami","eu,us","","","","1","ru","","","",""
"@",,"06a6ab3ba59286772f915053cfcd6e1e873358b1","@","@","Tekkyu Fight! The Great Battle Gaiden","@","","","1993","Banpresto","jp","","","","","","","","",""
"@",,"06cb8feb457b44e49e7632128688975f5ad911bd","@","@","Trip World","@","","Language en","1992","Sunsoft","jp","","","","1","","","","",""
"@",,"06eb16e1f0e51d9f045c7c68318389739b56bf08","@","@","Banishing Racer","@","","","1991","Jaleco","jp","","","","","en","","","",""
"@",,"06efdb138ff56cd9522dece44adadd3fae169c76","@","@","Kirby's Pinball Land","@","","","1993","HAL Laboratory","eu,us","","","","","","","","",""
"@",,"06f1a97e902ec1771437840c7aa2161e63198a09","@","@","Monster Max","@","","","1997","Titus","eu","b","b 4","","","","","","",""
"@",,"070445d761eee50f47c1b33e3ad79d430271f7a4","@","@","Batman: The Animated Series","@","","","1993","Konami","@","b","b 1","","","","","","",""
"@",,"07055a4d869d6f2fa2b6745ff212d32796fad84f","@","@","Krusty's Fun House","@","","","1992","Acclaim","eu,us","b","b 2","","","","","","",""
"@",,"070d594fcd3637920234bf28206015287b97937e","@","@","Olympic Summer Games","@","","","1996","THQ","@","","","","","","","","",""
"@",,"0717908028b3b51a44d7e904ff1eeead9f03176a","@","@","Mega Man II","@","","","1992","Capcom","us","","","","","","","","","1"
"@",,"0729da81a62a1c30e34f5c3157de16fc014c52fe","@","@","Kizuchida Quiz da Gen-San Da!","@","","","1992","Irem","jp","","","","","","","","",""
"@",,"072d47495828c552b3cd8cd6051aa2c598c51f0e","@","@","Turrican","@","","","1991","Accolade","@","b","b 3","","","","","","",""
"@",,"0730cc089982f5016f1948e4f58ae50cad8099e2","@","@","Baseball Kids","@","","Language en","1990","Jaleco","jp","b","b 2","","","","","","",""
"@",,"073551f222a2aaeaa4bf2c676a68ab1ee984b7bb","@","@","Winter Gold","@","","","1994","U.S. Gold","us","","","","","","","","",""
"@",,"0744fa814b17c3564bd1bb2bb3e17a5c49d6fd50","@","@","Kwirk","@","","","1989","Acclaim","@","b","b 2","","","","","","",""
"@",,"075512a3af4bc7c2da2d51d84df2d04c81b2a8ad","@","@","Spot: The Cool Adventure","@","","Language en","1992","Virgin","jp","","","","","","","","",""
"@",,"0766e1d71ac051b91cb94b41468c15187da69dd5","@","@","Mr. Do!","@","","","1991","Ocean","us","","","","2","","","","",""
"@",,"076c72b571ffc6fede54dad95ea2bc33f51ec2cd","@","@","Taz Mania","@","","","1994","Sunsoft","eu,us","b","b 1","","","","","","",""
"@",,"07ae4a6437f00f6af462bf84fd0ac1cf345c8365","@","@","Yu-Gi-Oh! Duel Monsters","@","","","1998","Konami","jp","","","","","","","","",""
"@",,"07b6174a413858f84bfc480169945c7fd1a372b9","@","@","Gameboy Gallery","@","","","1994","Nintendo","eu","","","","","","","","",""
"@",,"07bf2dd8c1bebd40a63fb571c587f0e77286c6a0","@","@","Snoopy: Magic Show","@","","Language en","1990","Kemco","jp","","","","","","","","",""
"@",,"07c65e04928f94141ccc5082a0a38b29665cc5ab","@","@","Legend of Zelda, The: Link's Awakening","@","","v rev2","1993","Nintendo","us","a","a 1","","","es","","","",""
