"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,130cc93f8b77e3689bb1bbabca2eaeebf4291ca7,@,@,"Psychic World",,,,1991,Sega,,,,,,fr,,,,
@,,133ffdde0a5a0ce951c667a4c5d7f9d9f35e9658,@,@,"Great Volley Ball",,,v1,1987,Sega,,,,,,,,,,
@,,14210196f454b6d938f15cf7b52076796c5d0f7d,@,@,"Wonder Boy",,,v0,1987,Sega,,,,,,,,,,
@,,14213dffac2fbc5be8b19b755ba5407c0d91a76c,@,@,"Picture Demo",,,,200x,FluBBa,,,,,,,,,,
@,,144bd2f8f6e480829c50f71baa370a838e8cec41,@,@,"G-LOC: Air Battle",,"G-LOC - Air Battle",,1991,Sega,,,,,,,,,,
@,,1478de1b99e830a8a8d8dcc92368c24b2af547d5,@,@,Pac-Man,,,,2005,"Covell, Chris",,,,,,,1,,,
@,,14dff343ef3c10ef06ef3fdfb4985dfa79062379,@,@,"Lethal Weapon 3",,,proto,1992,Probe,,,,,,,,,,
@,,151f9260bda90521c6b6edcf152631cf1238567f,@,@,"Phantasy Star",,,v3,1988,Sega,,b,,,,,,,,
@,,15914753d727108cbdfb312da0f523ea914070b9,@,@,"My Hero",,,,1986,"Coreland / Sega",,b,,,,,,,,
@,,15f6ef8b3b926cab18671cb9bbd6f786bacfccfd,@,@,"World Soccer",,,,1987,Sega,,b,,,,,,,,
@,,16124a25384339b0879c2b0d55d2920fe2a7202b,@,@,"Space Harrier",,,,1986,Sega,,b,,,,,,,,
@,,161a4fcc96a85deed4bf09e15a89f7c995ff19cc,@,@,"SMS Power! Demo",,,"v0.32 / ",1999,"Cornut, Omar",,,,,,,,,,
@,,169510c0575e4f53b9da8197fc48608993351182,@,@,"Mahjong Sengoku Jidai",,,beta,1987,Sega,jp,,,,,,,,,
@,,16ae8129f7daf0eedaac16dd8cf64d6455d97833,@,@,Ruptus,,,,2021/10/09,Inufuto,jp,,,,,,,,,
@,,16b2219a1493c06d18c973fc550ea563c3116207,@,@,"Heroes of the Lance",,,,1991,"Tiertex Design Studios / U.S. Gold",,,,,,,,,,
@,,16bc6e3fcdd71470dbfa12bc33eb2864a7647b7b,@,@,"Hang-On + Safari Hunt",,,,1986,Sega,,b,,,,,,,,
@,,16f756e00314781e07af84c871e82ec8e0a68a57,@,@,"Les Schtroumpfs 2",,"Schtroumpfs 2",,1995,Infogrames,,,,,,,,,,
@,,16fece472a2c490ea10df276dbae6901e87116bc,@,@,"Micro Machines",,,,1993,Codemasters,,b,,,,,,,,
@,,1732b4c13fd00dd5efc5bf1ccb1ab6ed3889c8ba,@,@,"The Flash",,Flash,,1993,"Probe / Sega",,,,,,,,,,
@,,1736b8891bfaa24ce1c2bec660e24aba6c58bbe2,@,@,Zillion,,,v1,1987,Sega,us,b,,,,,,,,
@,,1789c6eac85bd8f3d6b3aa0871c70e22776312a3,@,@,"Castelo Ra-Tim-Bum",,,,1997,"Sega / Tec Toy",br,b,,,,,,,,
