"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,025c4d4d10682420c88f5b97db4de8ed2d980542,@,@,"Sonic the Hedgehog 2",,,v1,1992-11-21,Sega,@,@,@,@,@,@,@,@,@,51
@,,02634d919ec7d08f3c6833f229b5127dd52c9e8a,@,@,"Fatal Rewind",,,@,1991-08,"Electronic Arts",eu-us,@,@,@,@,@,@,@,@,@
@,,02656b5707cf9452d4cf48378ffd3a95dc84e9c5,@,@,"Puyo Puyo",,,@,1992-12-18,Sega,jp,@,@,@,@,@,@,@,@,@
@,,026a701eba3ad9af2382de09d14fea1731876993,@,@,"Cannon Fodder",,,@,1995-01,"Virgin Interactive",eu,@,"Bsingle byte",@,@,@,@,@,@,@
@,,026d78be4549e3cfac64c08ebd2e43f634f5aa49,@,@,"Assault Suit Leynos",,,@,1990-03-16,Masaya,jp,@,@,@,@,@,@,@,@,*
@,,026e80863fad9f96f87e0d7fb8165c72c6073690,@,@,"DevSter's GALAXIAN!",,,v2,2004-03-17,DevSter,@,@,@,@,@,@,@,@,@,@
@,,02711a037ffec02f8e2962b8c311e8e992d36e70,@,@,"Sangokushi III",,,@,1992-11-08,Koei,jp,b,@,@,@,@,@,@,@,@
@,,02727a217e654f3cdf5a3fcd33b2f38d404a467d,@,@,"Dynamite Headdy",,,@,1994-08-05,Sega,jp,@,@,@,@,@,@,@,@,@
@,,027fb3bd1a225c93871dfe21b0928192470079b5,@,@,"X-Men 2: Clone Wars",,,"v19941206 | beta",1994-12-06,Sega,eu-us,@,@,@,@,@,@,@,@,@
@,,02a4474d0c41bc6cca54741574a68c82c1b5396b,@,@,"College Slam",,,@,1996-02,"Acclaim Entertainment",us,@,@,"region lock",@,@,@,@,@,@
@,,02ab011007497997dffc55f659a70e11e69b3727,@,@,"College Football USA 97",,,@,1996-06-01,"Electronic Arts",us,b,@,@,@,@,@,@,@,"region code UE"
@,,02b24fd7045deb9eceda5a44e3a9b19fc5d665c1,@,@,"Decap Attack",,,@,1991-10,Sega,eu-us,@,@,@,@,@,*,@,@,@
@,,02c13537d222b20ed868287b8e964d3d4413846a,@,@,"Atomic Robo-Kid",,,@,1990-10,Treco,us,@,@,@,@,@,@,@,@,2
@,,02cf05687a7f3f8177b2aff0a0cfbd5c490e557d,@,@,"Slime World",,,@,1992-04-30,"Micro World",jp,@,@,@,@,@,@,@,@,@
@,,02d4349948f3fb211b388f308b72bc54c2f15a4d,@,@,"A Dinosaur's Tale",,"Dinosaur's Tale",@,1993-09,"Hi-Tech Expressions",us,@,@,@,@,@,@,@,@,4
