"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,8edf841480ec4577f683a4074877ae70e270b557,@,@,"Beef Drop",,,beta,2004/11/03,"Siders, Ken",,,,,,,,,,
@,,8f395f48971ed55e97f41f2286e10dcc5a14c066,@,@,Centipede,,,NTSC,1987,Atari,,,,,,,,,,
@,,8f626b39072acde7d01470d72dbed547824ed0a0,@,@,Meltdown,,,PAL,1990,Atari,,,,,,,,,,
@,,8f76d508c35f94dddaea0b70b7b0cb81e33a6291,@,@,"F-18 Hornet",,,PAL,1988,"Absolute Entertainment",,,,,,,,,,
@,,8f8e37d9b6859953fdcd03beadac1166ecf026e0,@,@,"Barnyard Blaster",,,PAL,1988,Atari,,,,,,,,,,
@,,8fe3620de6d630e8a1aeb30291940f7589532956,@,@,"Super Huey UH-1X",,,NTSC,1988,Atari,,,,,,,,,,
@,,90106bb2ccad6499f2879864ba452439f7740b48,@,@,"Color Selector",,,,1987,Atari,,,,,,,,,,
@,,90d491e1dcb5aae2bc82e851ace60a5eed7c3b4f,@,@,"Donkey Kong Junior",,,PAL,1988,Atari,,,,,,,,,,
@,,93a3b9c5348bbfd3bad6ec2bd922857a66dbb73a,@,@,Galaga,,,NTSC,1987,Atari,,,,,,,,,,
@,,93ed412867351c4ddaf79fb3f61daebc0821ff36,@,@,"Beef Drop",,,alpha,2004/10/29,"Siders, Ken",,,,,,,,,,
@,,950ec20374630cbbb53d03543b7c56e6f923b96d,@,@,"One-on-One Basketball",,,NTSC,1987,Atari,,,,,,,,,,
@,,96515fd5d0c7b3ec507469d5f47d377bdb1ab6fe,@,@,Galaga,,,NTSC,1987,Atari,,,,,,,,,,
@,,97fea37888741279cf21e09ec46f6325e87ac2ae,@,@,"Desert Falcon",,,PAL,1987,Atari,,,,,,,,,,
@,,9a154c4faeb10167eeac65206892ad9a1b9f8364,@,@,"Hat Trick",,,NTSC,1987,Atari,,,,,,,,,,
@,,9bdbc4d628f06e425d50a4e2a67cc7806360d94d,@,@,"Super Huey UH-1X",,,NTSC,1988,Atari,,,,,,,,,,
@,,a3af676991391a6dd716c79022d4947206b78164,@,@,"Atari 7800 High Score Cartridge BIOS",,,,2000,"Atari / GCC / Gary Rubio",,,,,,,,,,
@,,a4d28b28960a9473d97d266a69f413834fb4f588,@,@,Centipede,,,PAL,1987,Atari,,,,,,,,,,
@,,a60b690351ccc1b03de6f4b8945eb54f2dee762e,@,@,"Dig Dug",,,NTSC,1987,Atari,,,,,,,,,,
@,,a7fdc4abfd6c47d867e3c9b165ad902829d723a9,@,@,Choplifter!,,,PAL,1987,Atari,,,,,,,,,,
@,,a85bd67402642b53cddfeeb0b3e7313f0bbe0b04,@,@,"Beef Drop",,,beta,2004/12/10,"Siders, Ken",,,,,,,,,,
@,,aa46b44bb579a82a85a03307bc474a6f19f209ab,@,@,"Impossible Mission",,,PAL,1987,Atari,,,,,,,,,,
@,,aab50199dac7fa7c9060ea6bd5529e75baf28cfa,@,@,"Beef Drop",,,beta,2005/01/09,"Siders, Ken",,,,,,,,,,
@,,aac1881255b4429a2fa13fcb003c2290bce5687c,@,@,"Fatal Run",,,NTSC,1990,Atari,,,,,,,,,,
@,,aad5c4b0b2e372f13ffa0a291023c9feee86785d,@,@,"Ms. Pac-Man",,,NTSC,1987,Atari,,,,,,,,,,
@,,ab01ab13ce1bf9dd49fd162161c80c9c42999902,@,@,Sentinel,,,"NTSC / proto",1990,Atari,,b,,,,,,,,
@,,ab08f92c6a9a3346cce40958ad6492e6af00acf1,@,@,"Mat Mania Challenge",,,NTSC,1990,Atari,,,,,,,,,,
@,,ab96b82d698bd59d07d8004f0445699e26137817,@,@,"RealSports Baseball",,,NTSC,1988,Atari,,o,,,,,,,,
@,,ad3002b9385d1df8c0066a407362a1261180e76f,@,@,"Atari 7800 BIOS",,,NTSC,1984,Atari,,b,,,,,,,,
@,,ad52027a4ef5822ff126f3d74350b8215e863f89,@,@,"Water Ski",,,NTSC,1988,Froggo,,o,,,,,,,,
@,,af4598cea849790262c1ba308410dbf8195b72ec,@,@,Meltdown,,,NTSC,1990,Atari,,b,,,,,,,,
@,,b0216f9979d0cf75d2f00c2715170b7acf3d92f9,@,@,"Mario Bros.",,,NTSC,1988,Atari,,,,,,,,,,
@,,b0499b57a42741ddd672ff7ff1b9ac3bc068ac58,@,@,Xenophobe,,,PAL,1989,Atari,,,,,,,,,,
@,,b071ddbae6f71b93cf250af6940458e86b024e06,@,@,"Tank Command",,,NTSC,1988,Froggo,,o,,,,,,,,
@,,b39dcd50307e94ec4e4d310e731ee9590c02664c,@,@,"Beef Drop",,,beta,2005/01/10,"Siders, Ken",,,"Pokey forced on",,,,,,,
@,,b89b8e550ae9c58880ef05e2e7d6ec6de40e96ce,@,@,"One-on-One Basketball",,,NTSC,1987,Atari,,,,,,,,,,
@,,b9b673c6cc4abc1f1bfb0d27d07be72b9976a1dd,@,@,"F-18 Hornet",,,NTSC,1988,"Absolute Entertainment",,b,,,,,,,,
@,,baa7f957db2f4f9165a75b0f77866b5f99312769,@,@,"Winter Games",,,NTSC,1987,Atari,,,,,,,,,,
@,,bc4caab510688e63bd70c332b51dd125d8dc6623,@,@,"Beef Drop",,,beta,2004/11/17,"Siders, Ken",,,,,,,,,,
@,,bc8ee7adeb01c875eeeda51d707c533cc4329668,@,@,GATO,,,"NTSC / proto",1987,Atari,,,,,,,,,,
@,,bdbc60df4fe04072f41b408d5ed97487db9abe34,@,@,"Impossible Mission",,,NTSC,1987,Atari,,,,,,,,,,
@,,bf0801510a0835e327b1b2edd2d56399551bc047,@,@,"Ninja Golf",,,NTSC,1989,Atari,,,,,,,,,,
@,,bf414ce1962f57016b26f545321d49fe13cf1e1e,@,@,Sentinel,,,PAL,1991,Atari,,b,,,,,,,,
@,,bfbf9be9ad0788f5c54428cc70ca8b75816eb4a9,@,@,Sentinel,,,"NTSC / proto",1990,Atari,,,,,,,,,,
@,,c159d273ffb20f9d843b038f6a830576c6d85013,@,@,"Beef Drop",,,beta,2005/01/08,"Siders, Ken",,,"Pokey forced on",,,,,,,
@,,c1f1d13b0a3cff210a6b8fe73efb5588cb4de3c6,@,@,"Mean 18 Ultimate Golf",,,NTSC,1989,Atari,,,,,,,,,,
@,,c317adf4af005f6b5e1b2d714b1c9536252afbbb,@,@,"Beef Drop",,,beta,2004/11/04,"Siders, Ken",,,,,,,,,,
@,,c3ff403ce7d2b3a14dd3c6ba71fbf53526f319c2,@,@,"Beef Drop",,,pre-release,2006/06/30,"Siders, Ken",,,,,,,"okey fallback",,,
@,,c56e2180b8ad1d37767d01c22bfb098d995f192e,@,@,"Midnight Mutants",,,NTSC,1990,Atari,,,,,,,,,,
@,,c582e3feaac1868798866b2ee27ed3c92b390759,@,@,"Beef Drop",,,beta,2004/12/08,"Siders, Ken",,,,,,,,,,
@,,c6c8accd3ff293c249f544688dc49807ca2556cf,@,@,"Pole Position II",,,NTSC,1987,Atari,,,,,,,,,,
@,,c8513193616984b872a4e4892abe5ce85611aab9,@,@,"Ninja Golf",,,PAL,1989,Atari,,,,,,,,,,
@,,ca1e5aa9359bacaff10bcbb8ff42cf52ce6d9d02,@,@,Asteroids,,,NTSC,1987,Atari,,,,,,,,,,
@,,ca675c16174f491a99427c25f6aae1f7cbe8e8c5,@,@,Ballblazer,,,PAL,1987,Atari,,,,,,,,,,
@,,cadbb92d59d373c6f04420319eaf3cb448103b0e,@,@,"F-18 Hornet",,,NTSC,1988,"Absolute Entertainment",,,,,,,,,,
@,,cc6feb8236776c49cb57875130c1c3b5e984253e,@,@,"Donkey Kong",,,NTSC,1988,Atari,,,,,,,,,,
@,,cf1edf5e8728c0a9bb688ed9fe28994881e081bd,@,@,Klax,,,"NTSC / proto",1992,Atari,,,,,,,,,,
@,,cf5774e0ec2f127b40759e184572eab22b0ac635,@,@,"Tomcat: The F-14 Fighter Simulator",,"Tomcat - F-14 Fighter Simulator",NTSC,1989,"Absolute Entertainment",,,,,,,,,,
@,,cff94abdbb20679817757d99781ad3e104bdcdfa,@,@,"Beef Drop",,,beta,2005/01/03,"Siders, Ken",,,,,,,,,,
@,,d0a24c0238520f666d9b558c79a8ee5131983fee,@,@,"Midnight Mutants",,,PAL,1990,Atari,,,,,,,,,,
@,,d1ad56c792597a83fa51d29e8236ad5b818ada87,@,@,"Pit Fighter",,,"NTSC / proto",1992,Atari,,o,,,,,,,,
@,,d276034ad0cb78233f41d62f26ae8c13941b347f,@,@,"Ikari Warriors",,,NTSC,1989,Atari,,,,,,,,,,
@,,d2b8b6dbb600b2e8b70abbabc10984c5a6e391ba,@,@,"RealSports Baseball",,,NTSC,1988,Atari,,,,,,,,,,
