Name:            Clone of:
ainfernou        ainferno
airattcka        airattck
airbustrb        airbustr
airbustrj        airbustr
aircombj         aircomb
airdueljm72      airduel
airduelm72       airduel
airduelu         airduel
airtrixo         airtrix
airwolfa         airwolf
aiwamcd          segacd2
ajaxj            ajax
akkanvdr         spcinv95
akumajou         hcastle
akumajoun        hcastle
al486vd          ibm5170
al520ex          cpc464
alacou           ibm5170
alaleolx         ibm5170
alator2          ibm5170
albatross        suprgolf
albert           apple2
alexkidd1        alexkidd
alfa             pmd851
alibabab         alibaba
alice            mc10
alice90          alice32
alien3j          alien3
alien3u          alien3
alienaru         alienar
alienchac        aliencha
alienfnta        alienfnt
alieninv         invaders
alieninvp2       invaders
aliens2          aliens
aliens3          aliens
aliens4          aliens
aliensa          aliens
aliensj          aliens
aliensj2         aliens
aliensu          aliens
aliensyn2        aliensyn
aliensyn3        aliensyn
aliensyn5        aliensyn
aliensyn7        aliensyn
aliensynj        aliensyn
aliensynjo       aliensyn
aligatorp        aligator
aligators        aligator
aligatorun       aligator
aligatoruna      aligator
alim1217         ibm5170
alim1419         ibm5170
alim1429         ibm5170
alim1489         ibm5170
alm16            alm32
alphahob         alphaho
alpham2p         alpham2
alphamis         aso
alphaone         mhavoc
alphaonea        mhavoc
alphatp1         alphatp2
alphatp10        ibm5150
alphatp2u        alphatp2
alphatp30        alphatp3
alphatp50        ibm5150
alphatrob        alphatro
alphatron        alphatro
alphaxz          m660
alpinea          alpine
alpinerc         alpinerd
alpinerjc        alpinerd
alpinesa         alpines
alpinr2a         alpinr2b
alpok_f6         alpok_l6
alpok_l2         alpok_l6
altbeast2        altbeast
altbeast4        altbeast
altbeast5        altbeast
altbeast5d       altbeast
altbeast6        altbeast
altbeastbl       altbeast
altbeastbl2      altbeast
altbeastj        altbeast
altbeastj1       altbeast
altbeastj3       altbeast
altbeastj3d      altbeast
am100            apple2
am64             apple2
am_mg31i         am_mg35i
am_mg33i         am_mg35i
am_mg34i         am_mg35i
amatelas         amazon
amazonh3a        amazonh3
amazonha         amazonh
amazonkp         amazonia
amazont          amazon
ambushh          ambush
ambushj          ambush
ambushv          ambush
amerdart2        amerdart
amerdart3        amerdart
americnaa        americna
amibaby          ibm5170
amidar1          amidar
amidarb          amidar
amidarc          amidar
amidaro          amidar
amidars          amidar
amidaru          amidar
amient2          ibm5170
amient3          ibm5170
amient4          ibm5170
amigo            amidar
amigo2           amidar
amisvpci2        ibm5170
amisvvlb         ibm5170
amisvvlb2        ibm5170
amisvvlb3        ibm5170
ampkr228         ampoker2
ampkr2b1         ampoker2
ampkr2b2         ampoker2
ampkr2b3         ampoker2
ampkr2b4         ampoker2
ampkr2jsp        ampoker2
ampkr2jspa       ampoker2
ampkr2jspb       ampoker2
ampkr95          ampoker2
amspdwya         amspdwy
amsterda         amsterd
amuse1           amuse
amuse1a          amuse
anakonda         special
anch386s         ibm5170
ancientaa        ancienta
ancientab        ancienta
ancientac        ancienta
ancientad        ancienta
andretti0        andretti
androidpo        androidp
andromepa        andromep
anibonusb1       anibonus
anibonusb2       anibonus
anibonusd1       anibonus
anibonusd2       anibonus
anibonuso        anibonus
anibonuso2       anibonus
anibonuso3       anibonus
anibonusv1       anibonus
anibonusv2       anibonus
anibonusxo       anibonus
anibonusxo2      anibonus
anibonusxo3      anibonus
animaljrj        animaljr
animaljrs        animaljr
anithuntd1       anithunt
anithunto        anithunt
anithunto2       anithunt
anithuntv1       anithunt
anmlbskta        anmlbskt
antar2           antar
antcleom         antcleo
anteaterg        anteater
anteatergg       anteater
anteateruk       anteater
aoap43           ibm5170
aof2a            aof2
aof3k            aof3
aovi15g          ibm5170
apache3a         apache3
apache3b         apache3
apb1             apb
apb2             apb
apb3             apb
apb4             apb
apb5             apb
apb6             apb
apbf             apb
apbg             apb
apfimag          apfm1000
aplannb          ibm5170
aplanst          ibm5170
aplsbon          ibm5170
aplscar          ibm5170
apogee           radio86
apollo13_10      apollo13
apollo13_20      apollo13
apollo13_d4      apollo13
apollo80         studio2
aponow           rescue
apple2c0         apple2c
apple2c3         apple2c
apple2c4         apple2c
apple2cp         apple2c
apple2ee         apple2e
apple2eefr       apple2e
apple2ees        apple2e
apple2eeuk       apple2e
apple2ep         apple2e
apple2euk        apple2e
apple2gsr0       apple2gs
apple2gsr0p      apple2gs
apple2gsr0p2     apple2gs
apple2gsr1       apple2gs
apple2gsr3p      apple2gs
apple2jp         apple2
apple2p          apple2
aprfte           ibm5170
apricotxi        apricot
aprpand          ibm5170
apvxft           ibm5170
apxena1          ibm5170
apxeni           ibm5170
apxenls3         ibm5170
apxenp2          ibm5170
apxlsam          ibm5170
aquajackj        aquajack
aquajacku        aquajack
aqualanda        aqualand
aquariumj        aquarium
aquarius2        aquarius
aquariusp        aquarius
ar140            aa310
ar225            aa310
ar260            aa310
ar4glx3          ibm5170
ar_airh2         ar_airh
ar_dart2         ar_dart
ar_fasta         ar_fast
ar_ldrba         ar_ldrb
ar_ldrbb         ar_ldrb
ar_ninj2         ar_ninj
ar_sdwr2         ar_sdwr
arabfgtj         arabfgt
arabfgtu         arabfgt
arabiana         arabian
arabianmj        arabianm
arabianmu        arabianm
arabnga6u        arabnga6
arac6spa         arac6000
aracnis          scorpion
arbv2            arb
archrivla        archrivl
archrivlb        archrivl
area51a          area51
area51t          area51
area51ta         area51
area88           unsquad
area88r          unsquad
arenaa           arena
arenaf           arena
arenag           arena
arescuej         arescue
arescueu         arescue
argo             unior
arian            aso
arizna10         ampoker2
ark1ball         arkanoid
arkangc          arkanoid
arkangc2         arkanoid
arkanoidj        arkanoid
arkanoidja       arkanoid
arkanoidjb       arkanoid
arkanoidjbl      arkanoid
arkanoidjbl2     arkanoid
arkanoidu        arkanoid
arkanoiduo       arkanoid
