"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Questprobe 2 Spiderman",,e448aa105d6ea7dc9fd52ec7f6fddd663cdc581b,,,"Questprobe #2 - Spider-Man",,,"v 3.9-111",1985,"Adventure International",us,a,"a 1; [k-file]",,,,,,,,,,
"Questprobe 2 Spiderman",,268f267c851f89164d8d243b7da8ef52df9505c8,,,"Questprobe #2 - Spider-Man",,,"v rev261; (Side A)",1986,"Americana Software",gb,,[S.A.G.A.],,,,,,,,,,
"Questprobe 2 Spiderman",,31c326db1e6b740f1a99cf3fa4430469b8c3ee36,,,"Questprobe #2 - Spider-Man",,,"v rev261; (Side B)",1986,"Americana Software",gb,,[S.A.G.A.],,,,,,,,,,
"Questprobe 3 Fantastic Four",,1e7220dad2481217bd849048c2502d934c7078a5,,,"Questprobe #3 - Fantastic Four vF172",,,"(Side A)",1985,"Adventure International",,,[S.A.G.A.],,,,,,,,,,
"Questprobe 3 Fantastic Four",,e098a8d00d1e032aab3a70e0998b2f8942aa6bb2,,,"Questprobe #3 - Fantastic Four vF172",,,"(Side B)",1985,"Adventure International",,,[S.A.G.A.],,,,,,,,,,
Questron,,2d9a2a3631bad9a538f88a1fdb219efd4d5553bd,,,,,,"(Disk 1 of 4); (US)",1984,SSI,,,[BASIC],,,,,,,,,,
Questron,,2f2498b4ebbb318d9021df3068268d8ba3e672c9,,,,,,"(Disk 4 of 4); (US)",1984,SSI,,,[BASIC],,,,,,,,,,
Questron,,cf21b67baf8de331d4a48442fef3b278381fd772,,,,,,"(Disk 2 of 4); (US)",1984,SSI,,,[BASIC],,,,,,,,,,
Questron,,cf21b67baf8de331d4a48442fef3b278381fd772,,,,,,"(Disk 2 of 4); (US)",1984,SSI,,,[BASIC],,,,,,,,,,
Questron,,2f2498b4ebbb318d9021df3068268d8ba3e672c9,,,,,,"(Disk 4 of 4); (US)",1984,SSI,,,[BASIC],,,,,,,,,,
Questron,,2d9a2a3631bad9a538f88a1fdb219efd4d5553bd,,,,,,"(Disk 1 of 4); (US)",1984,SSI,,,[BASIC],,,,,,,,,,
Questron,,d86a05a7dc4d25587df32947fb8f9b358b2886a7,,,,,,"(Disk 3 of 4); (US)",1984,SSI,,,[BASIC],,,,,,,,,,
Questron,,d86a05a7dc4d25587df32947fb8f9b358b2886a7,,,,,,"(Disk 3 of 4); (US)",1984,SSI,,,[BASIC],,,,,,,,,,
"Quick Invaders",,501a3d2f68e72381aed64ff34e3b66077e47ebdc,,,,,,,,,,,,,,,,,,,,,
"Quick Step",,ad444df8dd9d48773b8992f27891cf2097cbecb3,,,,,,,1983,Imagic,us,,[k-file],,,,,"The Cruiser",,,,,
"Quick Step",,ad444df8dd9d48773b8992f27891cf2097cbecb3,,,,,,,1983,Imagic,us,,[k-file],,,,,"The Cruiser",,,,,
"Quiwi - Disk 1",,bcaf23fdb036167017e9fe393770c4ae8413b50f,,,,,,,,,,,,,,,,,,,,,
"Quiwi - Disk 2",,b4481d3a3d0ce11ba0e68a7ddcbb13ac21b205aa,,,,,,,,,,,,,,,,,,,,,
"Quiwi - Disk 3",,b9a91cbbed0780f7126f75fab799363725e7c094,,,,,,,,,,,,,,,,,,,,,
R.O.T.O,,abaab6f11e351e0ee10fbc8001be085b59d1ab09,,,R.O.T.O.,,,,19xx,"ANALOG Computing",us,,[k-file],,,,,,,,,,
R.O.T.O.,,c22d8078ceaa63cc1923de9a57f7f4e0a22ba3a9,,,,,,,19xx,"ANALOG Computing",us,a,"a 2",,,,,,,,,,
RA,,bf68c58a4825410565790f4c0b155e6f50d7afdb,,,,,,(en),1993,K-Soft,cz,,,,,,,,,,,,
Race,,e0455096b68f946db8f573c45bda94bf615a839a,,,"Bewesoft's Race",,,(en),19xx,ABBUC,de,,[k-file],,,,,,,,,,
"Race in Space",,e91f196480334c5dd734172563b6487a30653c69,,,,,,,1981,"ANALOG Software",us,,,,,,,,,,,,
"Racing Destruction Set",,5d107078940b4ce18a9cec4b1497e1f78ebcb1d5,,,,,,(s1),,,,,,,,,,,,,,,
"Racing Destruction Set",,3459e1f88cc47ee9069830f437a3a2024bc2978c,,,,,,"(Side A)",1985,"Electronic Arts",us,,,,,,,N.A.S.A.,,,,,
"Racing Destruction Set",,3459e1f88cc47ee9069830f437a3a2024bc2978c,,,,,,"(Side A)",1985,"Electronic Arts",us,,,,,,,N.A.S.A.,,,,,
"Racing Destruction Set",,4171804b5b23edafad27cd9267eeaf92d647b453,,,,,,"(Side B)",1985,"Electronic Arts",us,,,,,,,N.A.S.A.,,,,,
"Racing Destruction Set",,0e8d417c2eb5459c03eca637ea2af0163a1902a5,,,,,,(s2),,,,,,,,,,,,,,,
"Racing Destruction Set",,4171804b5b23edafad27cd9267eeaf92d647b453,,,,,,"(Side B)",1985,"Electronic Arts",us,,,,,,,N.A.S.A.,,,,,
"Racing Destruction Set - Disk 1",,3cbe8ad5874f387d5ed8e655050ba4b13c3d84ce,,,,,,,,,,,,,,,,,,,,,
"Racing Destruction Set - Disk 2",,52a5433892d900fe9695686bd7ab76c73c84c749,,,,,,,,,,,,,,,,,,,,,
"Rack 'Em Up",,43c66a655c2ea4dbbb254029e721f98a40086d9e,,,"Rack'em Up",,,,1983,Roklan,us,,[k-file],,,,,,,,,,
"Rack'em Up!",,43c66a655c2ea4dbbb254029e721f98a40086d9e,,,"Rack'em Up",,,,1983,Roklan,us,,[k-file],,,,,,,,,,
Radzone,,29ce0e723fff0d3ce7572353a8f7d1a939b8d1ed,,,,,,,,,,,,,,,,,,,,,
"RAF - Battle of Britain",,7a5e75620c6c81ffbcb56fd534796f91d7e164c3,,,,,,,1980,"Discovery Games",,,,,,,,,,,,,
"Raid On Gravitron",,438d5a1a4cd4ba402f1504a973ead2a6d7ffeeb9,,,,,,,1983,"Antic Software",us,,[k-file],,,,,,,,,,
"Raid On Gravitron",,6a7b479658eaf08abe4b7b9b3a22b20a1826c23d,,,,,,,1983,"Antic Software",us,,,,,,,,,,,,
"Raid Over Libya",,6670459ed8f6fd81e04cd5cdb26a06811e7cdfa7,,,,,,,19xx,Mole-Eater,,,,,,,,,,1,,,
"Raid Over Libya",,6670459ed8f6fd81e04cd5cdb26a06811e7cdfa7,,,,,,,19xx,Mole-Eater,,,,,,,,,,1,,,
"Raid Over Moscow",,c88bbb4a64ae4292dca77af6eedef0c75068b390,,,,,,,1986,"Access Software",us,,[k-file],,,,,N.A.P.O.,,,,,
"Raid Over Moscow",,a53961efa5006b1475d857412a003f3a7db69d60,,,,,,,1986,"Access Software",us,,,,,,,,,,,,
RAID_OVER_MOSCOW,,a7fd5a939d164b0fb74ab9013056ccece225ec01,,,,,,,,,,,,,,,,,,,,,
"Raiders Of Space",,0ea4a62b3d17f2a1d9986cae68207605b45641cd,,,,,,,1983,"General Masters",us,,[k-file],,,,,,,,,,
"Raiders Of Space",,0ea4a62b3d17f2a1d9986cae68207605b45641cd,,,,,,,1983,"General Masters",us,,[k-file],,,,,,,,,,
Railking,,5a5afef467a454d434b958feb90f23e02bb4b4b8,,,,,,,1985,"David H. Neal",,,[k-file],,,,,,,,,,
Railking,,5a5afef467a454d434b958feb90f23e02bb4b4b8,,,,,,,1985,"David H. Neal",,,[k-file],,,,,,,,,,
"Rails West! - Disk 1",,bcdde56a6a4a9ce00e88311fddd374ccc5cb9435,,,,,,,,,,,,,,,,,,,,,
"Rails West! - Disk 2",,4bc5b4b47c1b2375e2d0ef9c940eae6c73ad2364,,,,,,,,,,,,,,,,,,,,,
"Rainbow Walker",,b923d98d8dc0ffdc210373bbcbba22d50c659e10,,,,,,(XL-XE),1983,"Synapse Software",us,,[k-file],,,,,,,,,,
"Rainbow Walker",,b923d98d8dc0ffdc210373bbcbba22d50c659e10,,,,,,(XL-XE),1983,"Synapse Software",us,,[k-file],,,,,,,,,,
Rainstorm,,493ad0ba6b61c789ec8bfe4e5deb900312b9492b,,,,,,,19xx,"Ristau, Chuck",,,,,,,,,,,,,
Rainstorm,,01faa609514f20f013bc8e23d38e7022bd4663b6,,,,,,,19xx,"Ristau, Chuck",,,[k-file],,,,,,,,,,
"Rainy Day Games",,a908d31494897015ccac566c32ed369555c032a6,,,,,,,,,,,,,,,,,,,,,
"Rally Speedway",,c5dbc68921cc6245f70d8fa8ce647ea2462c490b,,,,,,,1983,"Adventure International",us,,[k-file],,,,,,,,,,
"Rally Speedway",,c5dbc68921cc6245f70d8fa8ce647ea2462c490b,,,,,,,1983,"Adventure International",us,,[k-file],,,,,,,,,,
"Rally Speedway",,c45c70af3af7b1baee37cc1b6e0254d97a74b34e,,,,,,,1983,"Adventure International",us,a,"a 1; [k-file]",,,,,,,,,,
"Ramblin Gamblin",,09c41f290bd38a4e939bda939997161c84bb1656,,,,,,,,,,,,,,,,,,,,,
"Rambug II",,dffc37331ec595373a3deddf0385978689d11b5e,,,,,,,19xx,"ANALOG Computing",us,,[k-file],,,,,,,,,,
"Rambug II",,dffc37331ec595373a3deddf0385978689d11b5e,,,,,,,19xx,"ANALOG Computing",us,,[k-file],,,,,,,,,,
Rampage,,9fe73f81268015ac929a71ed3283b36b1fd572e0,,,,,,,,,,,,,,,,,,,,,
Rampage,,c3fcfe77125da4966adb09e1f366857b0b1645fd,,,,,,,1987,Activision,gb,,,,itle,,,,,,,,
"Rampage Pinball",,a401f4eecda392583d7221085c56036bbc0bf6fd,,,,,,,1983,Halfway,,,"[PCS]; [k-file]",,,,,,,,,,
"Rassilon's Block Puzzle",,e705537a3b50c661a406cf8937f60fefc34fd9db,,,"Block Puzzle",,,,1987,"Rassilon Software",us,a,"a 1; [k-file]",,,,,,,,,,
"Raster Blaster",,e466a521e0ed06f9bc0e2461e4aa2f1a80a37c54,,,,,,,1982,BudgeCo,us,,[k-file],,,,,,,,,,
"Raster Blaster",,e466a521e0ed06f9bc0e2461e4aa2f1a80a37c54,,,,,,,1982,BudgeCo,us,,[k-file],,,,,,,,,,
"Raszyn 1809",,c881a8e35239cfc72291587848dfdad6dc6363fc,,,,,,,1992,Mirage,pl,,,,,,,,,"GSL - KSL",,,
RASZYN_1809_A_FIX_LOADER,,1c9336b6bd04b28dd0945317ed30f0ca48161d28,,,,,,,,,,,,,,,,,,,,,
RASZYN_1809_B_FIX_LOADER,,fda8f7eda7cd23d0834b4933b28ca1eeb672546d,,,,,,,,,,,,,,,,,,,,,
"Rat Race",,618aec90b10c0aebeec245f95741bf364faeafe5,,,,,,,1983,"MMG Micro Software",us,,[k-file],,,,,,,,,,
"Rat Race",,618aec90b10c0aebeec245f95741bf364faeafe5,,,,,,,1983,"MMG Micro Software",us,,[k-file],,,,,,,,,,
Ratapede,,ab360550d946e50eeceb2348be967e55521518e7,,,,,,,1986,"Munsie, Dave - A.R.",us,,[k-file],,,,,,,,,,
"Rats' Revenge",,6b2557ebabc3f200399e96c53b7e36d5b90d8e2b,,,,,,,19xx,,,a,"a 1",,,,,,,,,,
"Rat's Revenge",,84714f96d7ae705412a7c348711ceb57545f2a62,,,"Rats' Revenge",,,,19xx,,,,[k-file],,,,,,,,,,
"Reaction & Concentration Tester",,3295cbbe2302d0d2af7bb5e5b71ee50ee341c121,,,,,,,,,,,,,,,,,,,,,
"Reactor Five",,e0dff2b9d566221a89b35c5ae74f4a27b633d45c,,,,,,"Copyright Public Domain",1986,"Silver Creek Observatory",us,,"[PCS]; [k-file]",,,,,,,,,,
"Reactor Five Pinball",,e0dff2b9d566221a89b35c5ae74f4a27b633d45c,,,"Reactor Five",,,"Copyright Public Domain",1986,"Silver Creek Observatory",us,,"[PCS]; [k-file]",,,,,,,,,,
"Realm Of Impossibility",,51493bf0270dcf323961b63ded9a783f67ed8dca,,,,,,,1984,"Electronic Arts",us,a,"a 1",,,,,,,,,,
"Realm Of Impossibility",,86c1d24d2efa260b92f7f8d86143cfb3a4f6529b,,,,,,,1984,"Electronic Arts",us,,,,,,,,,,,,
"Rebel Charge At Chickamauga",,236fc7766b28f3a5a388467c1b774a3b64f898bc,,,,,,"(Side A)",1987,SSI,us,,,,,,,,,,,,
"Rebel Charge At Chickamauga",,236fc7766b28f3a5a388467c1b774a3b64f898bc,,,,,,"(Side A)",1987,SSI,us,,,,,,,,,,,,
"Rebel Charge At Chickamauga",,46ef03f6ea7617c858d1d11ab9d9448f3760a41a,,,,,,"(Side B)",1987,SSI,us,,,,,,,,,,,,
"Rebel Charge At Chickamauga",,46ef03f6ea7617c858d1d11ab9d9448f3760a41a,,,,,,"(Side B)",1987,SSI,us,,,,,,,,,,,,
"Rebel Fighter",,4872ca2b016d7266972f3cfb17c80e41ea804833,,,,,,,19xx,"Milwaukee Software",us,,[k-file],,,,,,,,,,
"Rebel Fighter",,4872ca2b016d7266972f3cfb17c80e41ea804833,,,,,,,19xx,"Milwaukee Software",us,,[k-file],,,,,,,,,,
Rebound,,d216348ce7260a36cc54365651ff52a94c6503cc,,,,,,,1987,MicroValue,gb,,[k-file],,,,,,,,,,
Rebound,,06b39490a01837363c6a66fe1076293a87ab75cb,,,,,,,,,,,,,,,,,,,,,
Rebound,,d216348ce7260a36cc54365651ff52a94c6503cc,,,,,,,1987,MicroValue,gb,,[k-file],,,,,,,,,,
"Red Max",,65e0c244b7f22f90db06d6dc4fcda08ac5d7e2f7,,,,,,,1987,"Code Masters",gb,,,,,,,N.A.P.O.,,,,,
"Red Max",,239e53c8f70df232ff3dad02590b6f3613be1b4f,,,,,,,1987,"Code Masters",gb,,[k-file],,,,,,,,,,
"Red Moon",,fa7c1b9d1f8957d4724101d89df6842a5d1288d3,,,,,,,1985,"Level 9 Computing",gb,,[k-file],,,,,,,,,,
"Red Moon",,fa7c1b9d1f8957d4724101d89df6842a5d1288d3,,,,,,,1985,"Level 9 Computing",gb,,[k-file],,,,,,,,,,
"Redhead's Revenge",,a89e69ef035eb2b7542941621cbf87ac5a481d41,,,,,,,19xx,,,,[PCS],,,,,,,,,,
"Redhead's Revenge Pinball",,a89e69ef035eb2b7542941621cbf87ac5a481d41,,,"Redhead's Revenge",,,,19xx,,,,[PCS],,,,,,,,,,
REDMAX,,eccc59b3bac0a1319d496a6f05ca61c146a843c5,,,,,,,,,,,,,,,,,,,,,
Reflection,,bf12d180b948740ff228d37da49f6443733a234c,,,,,,,,,,,,,,,,,,,,,
Relax,,cf7fd9e666d9cabda7ccecc43f58b7ac05d932f6,,,,,,,1984,"Synapse Software",us,,,,,,,,,,,,
Relax,,cf7fd9e666d9cabda7ccecc43f58b7ac05d932f6,,,,,,,1984,"Synapse Software",us,,,,,,,,,,,,
Renaissance,,02f2c2941b14c8d61fd6bfd4e3a658ff371efadf,,,,,,,1982,UMI,us,,"[req OSb]; [k-file]",,,,,,,,,,
Renaissance,,02f2c2941b14c8d61fd6bfd4e3a658ff371efadf,,,,,,,1982,UMI,us,,"[req OSb]; [k-file]",,,,,,,,,,
Renegade,,bcbf60b38ead14921262ff7f5ed7a6cc284cca14,,,,,,(en),1992,"Brothers Production",pl,,[k-file],,,,,,,"JK Soft",,,
Replugged,,ec9b59b22a37feef71367539eceb48cbf489f83b,,,,,,(en),1994,ESC,cz,,,,,,,,,,,,
Repton,,20a616f83eecd1862d0e6f974189bc434cbfa3ca,,,,,,,1983,"Sirius Software",us,a,"a 1",,,,,,,,,,
Repton,,8a33a913acfb1212aca03d13c18ced9e52f48f12,,,,,,,1983,"Sirius Software",us,,"[no title]; [k-file]",,,,,,,,,,
"Rescue Adventure",,611d5a690acba0705739dd40e532d14671739891,,,,,,,1983,"CodeWriter - Gilsoft",,,,,,,,,,,,,
"Rescue At 94K",,3b6f7ae028238b70a3899f5fe56230b678a2d48a,,,,,,,19xx,"Ron V. Webber",,,[k-file],,,,,,,,,,
"Rescue At 94K",,3b6f7ae028238b70a3899f5fe56230b678a2d48a,,,,,,,19xx,"Ron V. Webber",,,[k-file],,,,,,,,,,
"Rescue Mission",,3f73287144fc2ac8b2fb17a832bbfe119554bac8,,,,,,,1984,"Page 6 Magazine",gb,,[k-file],,,,,,,,,,
"Rescue Mission - Phase 2",,7805a6ae21bc3eda2bb853d2f5bcc1a24630d006,,,,,,,19xx,,,,,,,,,,,,,,
"Rescue Mission Phase 2",,bb4aaf5ae5a44d2936932c9af76c4914269249a1,,,"Rescue Mission - Phase 2",,,,19xx,,,,,,1,,,,,,,,
"Rescue on Fractalus",,0c47f1d377f023907ed5dd88912795468eb8eb93,,,"Rescue on Fractalus!",,,,1985,Epyx,us,,,,,,,,,,,,
"Rescue On Fractalus!",,0c47f1d377f023907ed5dd88912795468eb8eb93,,,,,,,1985,Epyx,us,,,,,,,,,,,,
"Rescue On Fractalus!",,d5ce1e6560ea2727c9f4acfd3aa362aecabbc63c,,,,,,,1985,Epyx,us,,,,+4,,,,,,,,
"Rescue The Princess",,4d62beffe3a9e20550f03155880a1b3c291385d4,,,"Rescue of Blondell",,,,1985,Compute!,us,,[k-file],,,,,,,,,,
"Rescue The Princess",,4d62beffe3a9e20550f03155880a1b3c291385d4,,,"Rescue of Blondell",,,,1985,Compute!,us,,[k-file],,,,,,,,,,
Retrofire!,,3f3a29216e86256a627e4183e2fcd11bc4ee50ec,,,,,,,1983,"ANALOG Computing",us,,[k-file],,,,,,,,,,
Retrofire!,,3f3a29216e86256a627e4183e2fcd11bc4ee50ec,,,,,,,1983,"ANALOG Computing",us,,[k-file],,,,,,,,,,
"Return Of Heracles",,0f4e46bcfd34979ab9655f85c9cfa371f18d1e6f,,,,,,,,,,,,,,,,,,,,,
"Return Of Heracles",,1e32c2022c9a272c0c2ae156ac30650618547354,,,,,,,1983,"Quality Software",us,,"[req OSb]",,,,,,,,,,
"Return Of Heracles",,1e32c2022c9a272c0c2ae156ac30650618547354,,,,,,,1983,"Quality Software",us,,"[req OSb]",,,,,,,,,,
"Return Of Heracles",,744fd3c88e9ea6cc1e77431f1ebce80017546f8f,,,,,,,1983,"Quality Software",us,a,"a 1; [req OSb]",,,,,,,,,,
"Return Of Heracles",,7b464ca96b9130d7ade1ee0c48ee4741fe8fc263,,,,,,,,,,,,,,,,,,,,,
"Return to Eden",,285236bd3d4fbf0d96f1f1d58b27903e93a23bee,,,,,,,1984,"Level 9 Computing",gb,b,"b playable",,,,,,,,,,
RETURN_OF_THE_JEDI,,e701136da6cfd85c2515098c6097b3e8227ed0f4,,,,,,,,,,,,,,,,,,,,,
"Revenge of the Mutant Camels",,f0c997961d9c383e6490717ffe4ddf2962f6d09f,,,,,,,1987,Mastertronic,gb,,,,,,,,,"Mr. Bacardi",,,
"Revenge Of The Plutonian Flies",,67662e76a53207d42b36e9d112c9c4a1fc441c31,,,,,,,1985,"David Scribellito",,,[k-file],,,,,,,,,,
"Revenge Of The Plutonian Flies",,67662e76a53207d42b36e9d112c9c4a1fc441c31,,,,,,,1985,"David Scribellito",,,[k-file],,,,,,,,,,
Reverse,,add352b115896d56d7b68be461efbe617052721b,,,,,,(beta),1983,Mirage,pl,,[k-file],,,,,,,,,,
Reverse,,add352b115896d56d7b68be461efbe617052721b,,,,,,(beta),1983,Mirage,pl,,[k-file],,,,,,,,,,
Reversi,,c9bd6def2e7e85a1a3b932fead3bfa7eb483adca,,,,,,,1980,Artsci,us,,,,,,,,,,,,
Reversi,,c9bd6def2e7e85a1a3b932fead3bfa7eb483adca,,,,,,,1980,Artsci,us,,,,,,,,,,,,
Reversi,,3582919bdb2d619860008fbdfa0f4e00e5182e74,,,,,,,,,,,,,,,,,,,,,
Reversi,,353133f51e4630632ad8fc82491f8151f1d9584d,,,"Reversi II",,,,1981,APX,us,,[k-file],,,,,,,,,,
"Revoler Kid",,0af8685570ba3f1c19df17eb6d1398658ef5b485,,,,,,,1985,"Boenold, Micael",de,b,"b as2boot",,,,,,,,,,
"Revoler Kid",,0af8685570ba3f1c19df17eb6d1398658ef5b485,,,,,,,1985,"Boenold, Micael",de,b,"b as2boot",,,,,,,,,,
"Richard Petty's Talladega",,33e72703db72938778927dcc5b97b15aae498b7a,,,,,,,1984,Cosmi,us,a,"a 1; [k-file]",,,,,,,,,,
"Richard Petty's Talladega",,879be92cf330078c122d6e83e43ddffa2b7e98e7,,,,,,,1984,Cosmi,us,,[k-file],,,,,,,,,,
"Rick Hanson",,10c0f89a812e095d4e2ec004e03f3636bdd7e297,,,,,,,,,,,,,,,,,,,,,
Ricochet,,def9c6983a357cdc752825b943a4195c681ee3c2,,,,,,,,,,,,,,,,,,,,,
Ricochet,,a833b986016f53a0d225278f74ecd37d70dc1511,,,,,,,1981,Epyx,us,,[BASIC],,,,,,,,,,
Ricochet,,a833b986016f53a0d225278f74ecd37d70dc1511,,,,,,,1981,Epyx,us,,[BASIC],,,,,,,,,,
Ringmaster,,c422beed97516cd29f8c6134107e387befac34e8,,,,,,,1983,APX,us,,,,,,,,,,,,
Ringmaster,,c422beed97516cd29f8c6134107e387befac34e8,,,,,,,1983,APX,us,,,,,,,,,,,,
Riot,,a96749285df7c9489590925740e98d4980e96e34,,,,,,(en),1992,"Domain Software",pl,,[k-file],,,,,XE-Team,,,,,
Riot,,a96749285df7c9489590925740e98d4980e96e34,,,,,,(en),1992,"Domain Software",pl,,[k-file],,,,,XE-Team,,,,,
"Rip Off!",,f400b7a4528e5e745d1612389bd8150599f0b44b,,,"Rip Off! - The Plagiarism of 1984",,,,1984,"ANALOG Computing",us,,[k-file],,,,,,,,,,
"Rip Off! - The Plagiarism of 1984",,f400b7a4528e5e745d1612389bd8150599f0b44b,,,,,,,1984,"ANALOG Computing",us,,[k-file],,,,,,,,,,
"Risky Rescue",,ce277fcacd4c98e12a0c038570d3e9d53c43ee2d,,,,,,,1984,Antic,us,,,,,,,,,,,,
"Risky Rescue",,ce277fcacd4c98e12a0c038570d3e9d53c43ee2d,,,,,,,1984,Antic,us,,,,,,,,,,,,
"River Raid",,f8afa1474bc5ebfced0a7edb04ca59d516fc48eb,,,,,,,1983,Activision,us,,[k-file],,,,,Piratesoft,,,,,
"River Raid",,ed504bd3d98e0ad1b62a91c09f0fd984face4af4,,,,,,,1983,Activision,us,,[k-file],,,,,,,,,,
"River Raid",,f1c140061ad054f37c0e37bc327b4d4fce12ab8e,,,,,,,1984,Activision,gb,,,,,,,,,AtariSezam,,,
"River Rat",,cf4eaa4cf79a91f1dc7d8e11db81cb0b073762b8,,,,,,,1982,ZiMAG,us,,[k-file],,,,,,,,,,
"River Rat",,75ecd6b5939e63db4a8d507ac304537b5f94c122,,,,,,,1982,ZiMAG,us,a,"a 1",,,,,,,,,,
"River Rescue",,01605f5255b680e50711df358ea75515c48f1983,,,,,,,1983,"Thorn EMI",gb,,,,Wizard,,,,,,,,
"River Rescue",,dfc4c3d52d3441501815f306ad321a5c587b9a08,,,,,,,1983,"Thorn EMI",gb,a,"a 1",,,,,,,,,,
"River Rescue",,e0f7313d4b9664df644cba2198a07e227c20c565,,,,,,,1983,"Thorn EMI",gb,a,"a 1; [k-file]",,,,,,,,,,
RIVER_RAID,,951b127b2149459954cf418bf18140398f24d306,,,,,,,,,,,,,,,,,,,,,
"Road Block",,66daafb31c48992d436ecf7a87d334a0ee47afd4,,,,,,,1983,Compute!,us,,"[2 players default]; [k-file]",,,,,,,,,,
"Road Block",,60bec2e4c5b05e95d9a7895845f4a61f1fbd4cbb,,,,,,,1983,Compute!,us,,"[4 players default]; [k-file]",,,,,,,,,,
"Road Block",,60bec2e4c5b05e95d9a7895845f4a61f1fbd4cbb,,,,,,,1983,Compute!,us,,"[4 players default]; [k-file]",,,,,,,,,,
ROAD_RACE,,fabea1f7cf8b3daab39eb9b3849d956d400461de,,,,,,,,,,,,,,,,,,,,,
Robal,,b129ed7bd328d955a405871c9fb463e67d0ec7b1,,,,,,,1991,Mirage,pl,,[k-file],,,,,,,,,,
Robal,,c8c0428ba6d961ce645b0d2cee77191575537a2d,,,,,,,,,,,,,,,,,,,,,
Robbo,,4a2cede98ff31e632c8c1e0f4125b1de9f6950a5,,,,,,,1989,"L.K. Avalon",pl,,"[compressed]; [k-file]",,,,,,,,,,
Robbo,,74b6f4046b7c7980725d858e2fa241470a0cf8a8,,,,,,,1989,"L.K. Avalon",pl,,[k-file],,"+1 High Tech Team",,,,,,,,
Robbo,,b2b28bef546e239a55bb7f0444631bb2670fcacc,,,,,,(pl),199x,Antic-Soft,,,[k-file],,,,,,,,,,
"Robbo II",,4c0db6c773e04354cbf136755486418bb79c89fa,,,,,,(pl),1990,RoboSoft,,,[k-file],,,,,,,,,,
"Robbo III",,39771c6a632e372fb1eeb333168665d9db7429a3,,,,,,(pl),1991,"Bartek Walos",,,[k-file],,,,,,,,,,
"Robbo Konstruktor",,e9dbd409ae96021c79c5b40ef250251b24ad76e3,,,,,,(pl),1990,"L.K. Avalon",,,,,,,,,,,,,
"Robbo Konstruktor",,3ffc7c3ab6f11b4e08cbd3d4595cb2ec9525b5ff,,,,,,,,,,,,,,,,,,,,,
"Robbo Konstruktor",,6a07026b7870b61c971c4e711a7c9c4005fbabd9,,,,,,,,,,,,,,,,,,,,,
"Robbo V",,ed5fdae6f1aa31c7bc05823412f6270bd6508a1f,,,,,,(pl),1991,Atarax,,,[k-file],,,,,,,,,,
ROBBO_KONSTRUKTOR_FIX_LOADE,,1aeedff5a99cb487589917c740f7fe52584de6a3,,,,,,,,,,,,,,,,,,,,,
ROBBO_KONSTRUKTOR_ORIGINAL_,,9455b81c1950ebfac1a52c00d6d35a34cca83411,,,,,,,,,,,,,,,,,,,,,
"Robin - Wojownik Czasu",,a1d954869a48d3424377cf29cb4078e359e1dadb,,,,,,,1992,"L.K. Avalon",pl,,,,,,,,,,,,
"Robin Hood",,44680b957ebfdcbbd842ff94fc6ba7a3850d78ed,,,"The Adventures of Robin Hood",,"Adventures of Robin Hood, The",,1984,"English Software",gb,,[k-file],,,,,,,,,,
"Robin Hood",,4811dcfa33969637f4d464fdd30f5dc666c3a31c,,,"The Adventures of Robin Hood",,"Adventures of Robin Hood, The",,1984,"English Software",gb,,,,,,,,,,,,
"Robin Wojownik Czasu",,30e63b99560a3048816c9bd716b3d91618b2ce30,,,"Robin - Wojownik Czasu",,,,19xx,"L.K. Avalon",pl,,[k-file],,,,,,,,,,
ROBIN_HOOD,,95df1ef701de33c88004e95e150a71680faeecb5,,,,,,,,,,,,,,,,,,,,,
Robocop,,108655ef3eb87863ebf6cb85ac4749f75782fac4,,,,,,(en),19xx,"Fulco Games",pl,,,,,,,,,"GSL - KSL",,,
Robomash,,ed1805ac5797cb803a2d5abd6649f7813408350f,,,,,,,,,,,,,,,,,,,,,
"Robot Assault",,a55969d7e836dd8afca65ebf6ded4622baca6eae,,,,,,,1995/09,GMG,sk,,[k-file],,,,,,,,,,
"Robot Battle",,1411d504144b78885e10083f9b68a578694a4f60,,,,,,,1982,"United Software of America",us,,"[req OSb]; [k-file]",,,,,,,,,,
"Robot Battle",,5f57f00934341d591ceb04c08e1734e2498a7933,,,,,,,1982,"United Software of America",us,,[k-file],,,,,,,,,,
"Robot Battle",,d0398514fca20d446b7db8df9466202414331d3d,,,,,,,1982,"United Software of America",us,a,"a 1",,,,,,,,,,
"Robot Knights",,e31aeecc72824705e314bc50f0e04be24ac990f2,,,,,,,1986,"Red Rat Software",gb,,[k-file],,,,,,,,,,
"Robot Knights",,79d070847967b34aa8dd47a496b6e7bf5cb403fb,,,,,,,1986,"Red Rat Software",gb,,,,,,,N.A.P.O.,,,,,
"Robotron 2084",,f3d6ab328136f274d4993c71bd62d332fd076717,,,,,,,1983,Atari,us,,[k-file],,,,,,,,,,
"Robotron 2084",,f3d6ab328136f274d4993c71bd62d332fd076717,,,,,,,1983,Atari,us,,[k-file],,,,,,,,,,
