"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Krazy Ace Minature Golf",,8ddb2fc5898110f4069a47f91016d4ad3d014ac7,,,,,,(1992)(Telegames),,,,,,,,,,,,,,,
"Krazy Ace Minature Golf",,8063dab2ca8da55d0bf1329ff5403d23a1261422,,,,,,(1992)(Telegames)[b2],,,,,,,,,,,,,,,
"Kung Food",,396e25a6016b4279b82745c479593037b78bdeec,,,,,,"(1992)(Atari Corp)[b]",,,,,,,,,,,,,,,
"Kung Food",,ba5f63f558f818d4cf69173c9b00f1b0247a9282,,,,,,"(1992)(Atari Corp)",,,,,,,,,,,,,,,
Lemmings,,a919d411f58bea01ccf0590ca42a48f33da9a0f7,,,,,,"(1993)(Atari Corp)[b]",,,,,,,,,,,,,,,
Lemmings,,e61c173116eacecf90d0296c03d8c216be57400c,,,,,,"(1993)(Atari Corp)",,,,,,,,,,,,,,,
Lexis,,cef6c2042e6ff8b2411ea30acc43e5e7d0efb209,,,,,,"(1994)(Shadowsoft Inc)",,,,,,,,,,,,,,,
"Lode Runner",,6e81cafd17c5252e59f03fb1bfc7b90736bb7fd3,,,,,,"(1996)(Broderbund Software)",,,,,,,,,,,,,,,
Loopz,,fa7ce862c1ea15af4ffcf15e0cccc2a8a84b8e6d,,,"Loopz v0.06",,,"(1992)(Hand Made Software)(proto)[a]",,,,,,,,,,,,,,,
"Lynx Casino",,9eb4265b2472f8ad4e4e94e0ece4d1e3d5b7b237,,,,,,"(1992)(Atari Corp)[b]",,,,,,,,,,,,,,,
"Lynx Casino",,a5fb943e2eeece25bc3aaf1e9f6ae5c030672193,,,,,,"(1992)(Atari Corp)",,,,,,,,,,,,,,,
"Lynx Diagnostic Cart V0.02",,a00d64bc87ec0cace78e83c55ed2dd4b02649f3d,,,"Atari Lynx II Production Test v0.02",,,(1989)(Atari),,,,,,,,,,,,,,,
"Malibu Bikini Volleyball",,4a30e229a7aa9c3bd79ebaf6117d17d9056d5c8b,,,,,,"(1993)(Atari Corp)[b]",,,,,,,,,,,,,,,
"Malibu Bikini Volleyball",,f47f2aed04ba18152347aa2e0858b56c374c5f71,,,,,,"(1993)(Atari Corp)",,,,,,,,,,,,,,,
"Marlboro Go!",,3d0ee922c3572c9a861fc250082e659e6ebd4c8c,,,,,,"(1993)(Digital Image)(proto)[a]",,,,,,,,,,,,,,,
"Ms. Pac-Man",,d2243c3f10ab854288f69692fdb18ba92a3e868c,,,,,,"(1990)(Atari Corp)[b]",,,,,,,,,,,,,,,
"Ms. Pac-Man",,a0fff552f8747aba7a66bea234fa52faa3c64aac,,,,,,"(1990)(Atari Corp)[a]",,,,,,,,,,,,,,,
"Ms. Pac-Man",,ce85e2d2391f538106c92f8f3e136104ba977c16,,,,,,"(1990)(Atari Corp)",,,,,,,,,,,,,,,
"NFL Football",,76b4d3c29c1e68c8a62cc2913daf4884c3913b62,,,,,,"(1990)(Atari Corp)[b]",,,,,,,,,,,,,,,
"NFL Football",,22735fcd59eb028a4041027a369602b0bd968eb5,,,,,,"(1990)(Atari Corp)",,,,,,,,,,,,,,,
"Ninja Gaiden",,e751c35cce6e2e126ce7ccbd32b148dd6e248809,,,,,,"(1990)(Atari Corp)",,,,,,,,,,,,,,,
"Ninja Gaiden",,d00bcc7e7e43243d6827e50163856c72f9e3f366,,,,,,"(1990)(Atari Corp)[b]",,,,,,,,,,,,,,,
"Ninja Gaiden III - The Ancient Ship of Doom",,70f4115a92e3fdc4c93339ac801976a7697397ba,,,"Ninja Gaiden III - Ancient Ship of Doom",,,"(1993)(Atari Corp)",,,,,,,,,,,,,,,
"Ninja Gaiden III - The Ancient Ship of Doom",,1d239d809c4009122c04dc31c122714bd96b2dd6,,,"Ninja Gaiden III - Ancient Ship of Doom",,,"(1993)(Atari Corp)[b2]",,,,,,,,,,,,,,,
"Ninja Gaiden III - The Ancient Ship of Doom",,feceff10d54d84b07ca106e01977bb86e673cb7c,,,"Ninja Gaiden III - Ancient Ship of Doom",,,"(1993)(Atari Corp)[b]",,,,,,,,,,,,,,,
Pac-Land,,ca4f651c9955b756a88d3e7714f033c592fa0f6a,,,,,,"(1991)(Atari Corp)[a]",,,,,,,,,,,,,,,
Pac-Land,,b8d8d6f09322a4d4fddb4526195c2c070371677a,,,,,,"(1991)(Atari Corp)",,,,,,,,,,,,,,,
Paperboy,,c93c87e5aefee9c8926b2088e40d6375ddf67baf,,,,,,"(1990)(Tengen Inc)[a]",,,,,,,,,,,,,,,
Paperboy,,1d6a284203fdcfbda76ded39cd6be61ec2364ce1,,,,,,"(1990)(Tengen Inc)",,,,,,,,,,,,,,,
"Pinball Jam",,da7c221b7cb719bea19e3e988c73389bcc648e09,,,,,,"(1992)(Atari Corp)[b]",,,,,,,,,,,,,,,
"Pinball Jam",,1f1695acbecf39cf6fd7afa71ce5f5e0ec80934d,,,,,,"(1992)(Atari Corp)",,,,,,,,,,,,,,,
