"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Alien Blaster",,02fc8c15989f0f4486f0367837da0ec4eab04449,,,"Alien Blaster",,,,1983,PCW,,a,"a 1; [BLASTER]",,,,,,,,,,,
"Sabre Wulf: Extended Version",,032421980d1354374f21fdffe487101dbff5c74c,,,"Sabre Wulf: Extended Version",,,,19xx,Ultimate,,,[ZPR],,,,,,,XTB,,,,
"Adrian Mole Menu",,03273e36776cbc4cd64cadf731b37c61e083eaef,,,"Adrian Mole Menu",,,,1987,"MacAdam, R.",,,"[Req Ice-Box]",,,,,,,,,,,
"Dragon's Tooth",,033433d4cd4a1e47a8bba3cd9ede6ac520e4e982,,,"Dragon's Tooth",,,,19xx,Incentive,,a,"a 1; [DR]",,,,,,,,,,,
"Disk User: Number 09",,034097d8b360ee9026bce71fcd8dde1d0e44049a,,,"Disk User: Number 09",,,,1988,,,a,"a 1",,,,,,,,,,,
"2002 Rendezvous and Docking Simulator",,034300113351c8da8817fc77f73a111a8a0507ac,,,"2002 Rendezvous and Docking Simulator",,,,19xx,Superior,,,[RUN],,,,,,,,,,,
Nightshade,,034a244e02318aecf8c9027370da72e7b75d6ded,,,Nightshade,,,,19xx,,,b,"b 1",,,,,,,,,,,
Darts,,034d0bac44ba261e0b769fc62b98673ff7594603,,,Darts,,,,19xx,"Blue Ribbon",,,,,,,,,,TSTH,,,,
Blockbusters,,03625c9987ef1131c638c9772bdc9aae0bfe7b6a,,,Blockbusters,,,,1985,Macsen,,b,"b 1; [BLOCKB]",,,,,,,,,,,
Dallas,,03729fcc5519246e17bd381eeaf7d6d90d61124d,,,Dallas,,,,1983,CCS,,,,,,,,,,TSTH,,,,
"Eddie Kidd Jump Challenge",,0386434fc12b48bd101066f316a463d83dc8e5f2,,,"Eddie Kidd Jump Challenge",,,,19xx,Martech,,,[EDDIE],,,,,,,,,,,
"Acorn User: Issue 1992.12",,038c371a6d951dc0ec2c68ef5e6ab0046d868b85,,,"Acorn User: Issue 1992.12",,,,19xx,,,,,,,,,,,,,,,
"Fast Access: Volume 02: Issue 05",,03930294bf902508898d2e035936448d3a82f3d6,,,"Fast Access: Volume 02: Issue 05",,,,19xx,,,,,,,,,,,,,,,
@,,039e7e28867e11b44d3093b8ffdd82302f64bc96,,,Inter-Word,@,,"v 1.02-Lo",1986,"Computer Concepts",@,,,,,,,,,,,,,
"Kissin' Kousins",,03a0f0d0523934b735404bcbe027ee1b9b7b8044,,,"Kissin' Kousins",,,,1985,English,,a,"a 2; [KK]",,,,,,,,,,,
Camelot,,03aab6f46af3a1c197be522e8723120f7580e3af,,,Camelot,,,,1989,Superior,,a,"a 1",,,,,,,,,,,
"Bug Eyes 2: Starman to the Rescue",,03b1b666fd4f9a870094c3338574e5a1a517f2de,,,"Bug Eyes 2: Starman to the Rescue",,,,19xx,Audiogenic,,,[BUGII],,,,,,,,,,,
"Crystal Castles",,03c99d4ecc12d1090f0d0ae4c2d3b7af08c8866f,,,"Crystal Castles",,,,19xx,"U.S. Gold",,a,"a 2; [CRYSTAL]",,,,,,,,,,,
Vindaloo,,03cf78198b2576bca5bff6bad067212b37b44d84,,,Vindaloo,,,,1986,Tynesoft,,b,"b 2; [CURRY]",,,,,,,,,,,
Hangman,,03cfb748f1d9f2e489d3e87538cff11319b2e6c3,,,Hangman,,,,1985,"Blue Ribbon",,,,,,,,,,TSTH,,,,
