"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Brainies, The",,010e521880b59c1ad609f0969a78e31c02842de2,,,,,,"(E) [t1]",,,,?,,,,,,,,,,,,
"Mario and Luigi in.. A New Voyage",,01106118ee0a2a5625c27b28d7ab746076245dfe,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Return of Double Dragon: Threat from the East",,011d84caa4d9f758264379d5ea88a98d5bd774ab,,,,,,"(h6v2-0808096) (Hack)",,,,?,,,,,,,,,,,,
"Super Mario's Quest Demo",,011e0c2c3c527c3e54f5e51d8d4a09aa1fee28b8,,,"Super Mario World",,,,1991,Nintendo,us,,,,,,,,,119,,,,
"Seiken Densetsu 3",,01255ff50dac820b116feba32a722916bad5a3db,,,,,,"(J) [T-Ger1.00RC3(diffcolors)_G-Trans]",,,,?,,,,,,,,,,,,
"Battletoads in Battlemaniacs",,0126d16c9bcc8599a37a7147d68aba71481e7932,,,,,,"(U) [T+Rus_Shedevr]",,,,?,,,,,,,,,,,,
"Super Metroid: Super Zeromission v2.3 by SBniconico",,0126f17bea719516d5293c9f394ade039fac001c,,,,,,(Hack),,,,?,,,,,,,,,,,,
"Super Soukoban",,0126f65c70f341f6239b69cd6d02c96c5f9e6113,,,,,,"(J) [h1C]",,,,?,,,,,,,,,,,,
Unplayable,,012a0b70cac68260ae4549a16d5673a0cbdef1ab,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Metroid: Redesign V2.0 by Drewseph",,012b17eb380f0d4e6166de3a8f0abd132a21f7f7,,,,,,"(Hack) [b1]",,,,?,,,,,,,,,,,,
"Super Mario World: Ory's World v1.02 Renegate Music",,012cedca3e5c55da41e47819840d0b0e5cb23853,,,"Super Mario World",,,,1991,Nintendo,us,,,,,,,,,11,,,,
"Mario's Early Years",,012d92c1afed571a2c4b79845e4b382ed1ece429,,,"Mario's Early Years: Fun With Numbers",,,"(U) [!]",,,,?,,,,,,,,,,,,
"Super Metroid Redesign By DiegoShark",,0136a93178ed37a45449718d6f12c483201a3fa1,,,,,,(Hack),,,,?,,,,,,,,,,,,
"Super Buster Bros.",,013c053a287a22d065cb06360139c82cd5e76cab,,,,,,(Prototype),,,,?,,,,,,,,,,,,
"SMWC Vanilla LDC 5",,013f96af060e4701551bb917babedd2fda9a59ce,,,,,,"(#78-R60) - Entry by TheGuyWhoIsSitting (2012-02-28) (SMW1 Hack)",,,,?,,,,,,,,,,,,
"Super Wario World1",,01455bd059c3d4512d7238f5da9aea5714e8acb0,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Wings 2: Aces High",,015a882036118f9692a63fb0d7469c6f36db1b0c,,,,,,"(Beta) [h1]",,,,?,,,,,,,,,,,,
"Final Fight",,015f8006349091646627dec7c98fa5dd6f75e322,,,,,,"(J) [b1]",,,,?,,,,,,,,,,,,
"Luigi's Last Desire Demo",,01609359e930cd3128fe3c892d2f73b2b0e39fd9,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Megaman X",,01620fb695d8a5766eec2fc67b13308ba517d487,,,,,,"(U) (V1.1) (VC)",,,,?,,,,,,,,,,,,
"VS Super Mario World",,01634470dbfd72f6f1f8da0f54bb70939c911379,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Shanghai III",,01649da0cd8c7082bced0920e700d9fc1afbaf36,,,,,,"(J) [b1]",,,,?,,,,,,,,,,,,
"Fuzzy Shooting",,01655764d809bbbb13ab8e83866766f5b1d5db77,,,,,,"(PD) [a1]",,,,?,,,,,,,,,,,,
"Magic Floor v1.1",,01658b07fe94d066679243b9a9cb09f8aab2b800,,,,,,(PD),,,,?,,,,,,,,,,,,
Health,,0169331488506b8619a39a85d32eaaec189e99ae,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Test Single Instr by Blargg",,016afb63ca69eceaa5d60a1a330cc938634e1f3b,,,,,,(PD),,,,?,,,,,,,,,,,,
"John Madden Football '93",,016fd958739b800e920a1482bd2c761b7e14114d,,,,,,"(U) (V1.0) [h2C]",,,,?,,,,,,,,,,,,
"Arcadia Intro 1",,0171afc44e4306ebe1d7a00da78061147c9d0e66,,,,,,(PD),,,,?,,,,,,,,,,,,
"Road Runner vs Wyle E. Coyote",,0179922e49a08bb6bf34f3afc10d2b1d07b48ac4,,,,,,"(J) [h1C]",,,,?,,,,,,,,,,,,
"Tecmo Super NBA Basketball",,017f394750402911c9ac5eb507053acbadc9fc8c,,,,,,"(A) [!]",,,,?,,,,,,,,,,,,
"Super Metroid Challenge",,018080a2022d5cfa0f15ea7d6374ecd689264fb0,,,,,,(Hack),,,,?,,,,,,,,,,,,
Terranigma,,018701e5ce385e0b32e61b8f8bb2f9abf8abf8f0,,,,,,"(G) (V1.0) [!]",,,,?,,,,,,,,,,,,
"Super Mario Starlight Remix",,0189a8a69043e3225d29ba1f30ccd44e9383d008,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"New Day, A",,018b556277b99755b0a133cec0e42cc30d074074,,,,,,"(Beta 1) by cp1 (computerprogrammer1) (2011-10-03) (SMW1 Hack) [b1]",,,,?,,,,,,,,,,,,
"Rockman & Forte",,018e51662ed09f329ede377ddc381cf744abc19f,,,,,,"(J) [T-Eng99%][a1][h1C]",,,,?,,,,,,,,,,,,
"Saph and the Great Rebellion Level Sample by Raibys",,018ef24c990e7bfe5334b10cee569050c94f1184,,,,,,"(SMW1 Hack)",,,,?,,,,,,,,,,,,
"Fire Emblem: Monshou no Nazo",,019273f2e49522df2d8915a770b6011efd110769,,,,,,"(J) (V1.1) (VC)",,,,?,,,,,,,,,,,,
"Incredible Crash Dummies, The",,019330d6d814d663b5192ddbbf0ac0dd1b3d5a19,,,,,,(Beta),,,,?,,,,,,,,,,,,
"Super Street Fighter II: The New Challengers",,01943742ab94adda6c632678564163c449efb983,,,,,,"(E) [b1]",,,,?,,,,,,,,,,,,
"Zenkoku Koukou Soccer",,0195016fd5a062a0382bb123675b54bbbebbe454,,,,,,(J),,,,?,,,,,,,,,,,,
