"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Labyrintia,,1429010169eeff0d5c0c0fcbc95b342a13601557,,,,,,,,,,?,,,,,,,,,,,,
Samurai,,144572d9f19145dd64de2788523b3d3ce779276d,,,INSTALL,,,,,,,?,,,,,,,,,,,,
"Green Wind",,1467c604a479542d1a0300a66ae471ae637c6458,,,MidiPlay,,,,,,,?,,,,,,,,,,,,
"One Night 2: The Beyond",,155165ff1720aca76681bd9c83cc2748894f9b72,,,,,,v4.0,,,,?,,,,,,,,,,,,
"Distorted Travesty 3",,15e4378cc56d84831114d394df577e3ed4fcfc5a,,,,,,v1.5.2.4,,,,?,,,,,,,,,,,,
"Maldita Castilla",,1602b11d5b3ce2b90a5eead4c025b3762171784f,,,,,,,,,,?,,,,,,,,,,,,
"Paradise Heights",,160927f05749cce2b17c2f7867e7a8c06128056d,,,,,,,,,,?,,,,,,,,,,,,
"Sonic Chaos",,163845ee1b6d72624de84ffbae51716002b2bd7b,,,Chaos,,,,,,,?,,,,,,,,,,,,
"PC Sensible World of Soccer: Total Pack",,16736d5c90004ac44086dbd683c31150da98974a,,,patch,,,,,,,?,,,,,,,,,,,,
"PC Sensible World of Soccer: Total Pack",,167d7dc1f9b14785c605c6e132863362007698df,,,SWS,,,,,,,?,,,,,,,,,,,,
"Worms 2",,16fb2cd98dba41399da0b43052048f4ffedfe570,,,Landgen,,,,,,,?,,,,,,,,,,,,
"Worms 2",,1723cf8ca6889fb403c3a029ef4a726f467b700a,,,INTRO,,,,,,,?,,,,,,,,,,,,
"Distorted Travesty 2",,1727d65bb26da2b7feae277e96aab4a1b4a66982,,,,,,v1.0.4.0,,,,?,,,,,,,,,,,,
"New Satan Sam",,176107839c00a1d9a70177ac1d44ec0a39022c56,,,,,,v3.2,,,,?,,,,,,,,,,,,
"Tomb Raider 1 2 3",,176262281e6addaab5bdb3adb2027ad2d19f1455,,,"Graphic mode setup",,,,,,,?,,,,,,,,,,,,
"Take No Prisoners",,17702b14e72f09bb2942174883dd1eee09a9310c,,,,,,v1.0,,,,?,,,,,,,,,,,,
"Hardball 6",,17ef433e9dbd89d498b2cf9a24445ae931a82007,,,setup,,,,,,,?,,,,,,,,,,,,
"Megaman: Day in the Limelight 3",,182ecc45286d6a2d2ddf7ed927aa8c66276597be,,,,,,v0.2,,,,?,,,,,,,,,,,,
"Double Dragon Forever",,183b1e51568ee09398a6a8d37e712d6fcb4983a4,,,setup,,,v0.94,,,,?,,,,,,,,,,,,
"Strategy 3 Dark Legions",,186170c8bc8166220703a7eebffe379ff23eabe4,,,,,,Beta,,,,?,,,,,,,,,,,,
"Dead Rising",,1893e8567aaa894fe57da27be38119f7be11fac5,,,DeadRising,,,,,,,?,,,,,,,,,,,,
"Grand Theft Auto 2",,18da782c788df04bb25ad0c6728bafc520843a58,,,,,,,,,,?,,,,,,,,,,,,
"Incredible Machine 95",,1920235ed94ff5348fdd40e63cdbe4dc7dfd2135,,,AUTORUN,,,,,,,?,,,,,,,,,,,,
"Street Fighter x Megaman",,196b8602f581cdcc8d9beee289d9fb277dfc385e,,,,,,v2EU,,,,?,,,,,,,,,,,,
"Touhou 18: Unconnected Marketeers",,197ee7b6ee3ad4e4a2b5b8f81dd5d1ebc5ea4e69,,,th18,,,,,,,?,,,,,,,,,,,,
