"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Speedball 2: Brutal Deluxe",,614b8b7c735851697a4b16df916c07e8be7b504f,,,,,,,1992,Krisalis,,,,,,,,,,,,,,
"Chuck Rock",,61b6da4dda85f65fad13067082b9e67dabfee566,,,,,,"(Disk 2 of 2)",1991,Krisalis,,,,,,,,,,,,,,
"Sim City",,62baf7ffd2162b58ec7e8b2b611dea830d449caa,,,,,,,1993,Krisalis,,,,,,,,,,,,,,
@,,62e2174ef45fe59e281bcf834c0dd77ebbd142b5,,,"Bug Hunter in Space",@,,,1990,Minerva,gb,,[F1006001],,,,,,,,,,,
Amoria,,670d120249ab6aef67e3b87956637196dbfe9d4f,,,,,,,19xx,,,,,,,,,,,,,,,
"Creepie Crawlie 1 & 2",,68718a2496fe020f916fa59e9c5a78d97d6e8af0,,,,,,,19xx,"Johnson, Mark",,,,,,,,,,,,,,
Populous,,68c27f6cb1477b71e6e6e0502486e77ca96e7624,,,,,,,1989,Bullfrog,,b,"b 1",,,,,,,,,,,
@,,6b7d3e8298409f5502b1ae5f37d8ff24b8c0811e,,,"Ibix the Viking",@,,,1989,Minerva,@,,[F1020401],,,,,,,,,,,
"TCD Demo",,6b868d83acdeba3a9814161720dbd181ab29f271,,,,,,,19xx,,,b,"b 1",,,,,,,,,,,
"Speech! v1.3",,6bf70e521a803c00665d9402e484ada5decc80dd,,,Speech!,,,"v 1.3",1991,"Superior Microcomputing",,,,,,,,,,,,,,
"Alien Invasion",,6c723e1147aa9ad84a88480305c2d04377554ef6,,,,,,,1994,"Archimedes World",,,,,,,,,,,,,,
"Son of Gyrinus",,6cb046751a4c7048f3f8a093c58b5d6ffb62af93,,,,,,"(Disk 1 of 2)",19xx,"Cooper, Tom",,,,,,,,,,,,,,
"Gorm v1.40",,6cfdbce5224ed8acff35b5c7a0cec9c7a2ae14ac,,,Gorm,,,"v 1.40",1994,"Archimedes World",,,,,,,,,,,,,,
"Son of Gyrinus",,6d4bddda0941f21c8e93bd5d138cf492f84239e4,,,,,,"(Disk 2 of 2)",19xx,"Cooper, Tom",,,,,,,,,,,,,,
@,,6ee5518fac9991e17c5655fe4585d33a39d83eed,,,Apocalypse,@,,"(Disk 1 of 2)",1990,"Fourth Dimension",@,a,"a 1",,,,,,,,,,,
"Star Fighter 3000",,6f2c094fd7d1c7eaebb79e8343d52cf6bfb86d1b,,,,,,,1994,Fednet,,,,,,,,,,,,,,
"Flashback v1.0",,7153b6b25222be07a47af360407bb0b7828ecc8c,,,Flashback,,,"v 1.0; Demo 1",1992,Delphine,,,,,,,,,,,,,,
@,,71603bd55faf1524cb77c66d61fbad5dc78947a3,,,"Chocks Away",@,,"(Disk 2 of 3)",1990,"Fourth Dimension",@,,,,,,,,,,,,,
Blitz,,71d5bd09839361743ad3a7bf1d1c896c14da5829,,,,,,,1991,"Arxe Systems",,,,,,,,,,,,,,
@,,73ff11bd4279ba7505ff99b3a3f454e748ae8081,,,Cataclysm,@,,"(Disk 2 of 2)",1991,"Fourth Dimension",@,,,,,,,,,,,,,
@,,750bc0a919f155d20ed090478dee29dbce7bd908,,,Apocalypse,@,,"(Disk 1 of 2)",1990,"Fourth Dimension",@,,,,,,,,,,,,,
"Mad Professor Mariarti",,75648b234d04c5d71dc85f581bbdbe6b1de4813e,,,,,,,1990,Krisalis,,a,"a 2",,,,,,,,,,,
"Multi-Program 19",,76f9c6851197591470f34acc632d4bc0caa24bb3,,,,,,,19xx,,,,,,,,,,,,,,,
@,,7ab6e9ce047f5e4d8a44bb9ec9d5eb9c0deb4dc6,,,"Alone In the Dark",@,,"(Disk 3 of 8)",1995,"Krisalis Software",gb,,[F1001503],,,,,,,,,,,
@,,7bd929272792ab463e6bc9d0eaf6a87371bb3b76,,,"James Pond",@,,,2001,"R-Comp Interactive",gb,,"[F1060301 - RPC-SA-Kinetic-RO4 Compatible Version]",,,,,,,,,,,
"ArcOmnibus v1.03",,7c0870b1bb8bf974f7beaa4959dbbe4c1ed8642d,,,ArcOmnibus,,,"v 1.03",19xx,Beebug,,,,,,,,,,,,,,
@,,7d43c3adc0dfb7d7005c5628cdc3c7214090d702,,,Nebulus,@,,,1992,"Krisalis Software",gb,,[F1026001],,,,,,,,,,,
Corruption,,7deebf17db394b5ae964324136d91d002a6c4634,,,,,,,19xx,,,b,"b 1",,,,,,,,,,,
VZap,,7f9824d11b22c7c57dba6a8c85a9962e8e284e22,,,,,,,2000,"Vigay, Paul",,,,,,,,,,,,,,
"Superior Disk 2",,8011ee840d5ef371b5c1964c315df3c0fa66e758,,,,,,,1993,"Superior Software",,,,,,,,,,,,,,
"Simon the Sorcerer",,802f51af7c95ba48c534320b3c743921669c1d27,,,,,,"(Disk 02 of 10)",1994,Gamesware,,,,,,,,,,,,,,
"Wolfenstein 3D v1.00",,81bfd4ab92c538f5b15ad64bba625aac2ffb243d,,,"Wolfenstein 3D",,,"v 1.00; (Disk 2 of 3)",1994,Powerslave,,b,"b 1",,,,,,,,,,,
"Chuck Rock",,827c1cf0c18e2c5c58379ac8230b570ab3680fe6,,,,,,"(Disk 1 of 2)",1991,Krisalis,,,,,,,,,,,,,,
"MicroPower Chess",,82ede831b3774834b18baaf7f34cc3766946352e,,,,,,,19xx,MicroPower,,,,,,,,,,,,,,
@,,83740bcf6bb49f967d11d81c93c7c514d231050b,,,Orion,@,,,1988,Minerva,gb,,[F1027001],,,,,,,,,,,
@,,8463452f4ee4e867762aca425c58eaf6127befa3,,,"Fire & Ice",@,,"(Disc 1 of 2)",1995,"Warner Interactive Entertainment",@,,[F1015401],,,,,,,,,,,
@,,871bc5d66230edd6a92a81e8050e41f200cf286f,,,"Chuck Rock",@,,,2001,"R-Comp Interactive",gb,,"[F1060201 - RPC-SA-Kinetic-RO4 Compatible Version]",,,,,,,,,,,
Startwrite,,8ca4289ac423d4878129cb17d6177123b321108f,,,,,,,1992,"Icon Technology",,b,"b 1",,,,,,,,,,,
"Spectrum Emulator",,8d73d75979fd9229d9555e3391f80bcac74be8f5,,,,,,"(Disk 2 of 2)",19xx,,,,,,,,,,,,,,,
Lemmings,,8db181f24881545a73898bb3b924e5b5c98dbc7c,,,,,,,1991,Krisalis,,,,,,,,,,,,,,
"Hacker, The v3.05",,8dcc0c2d7074e62d34eb0727d5d4e484117be496,,,"The Hacker",,"Hacker, The","v 3.05",1993,Doggysoft,,a,"a 2",,,,,,,,,,,
"All In Boxing",,8debd965e8cc3ee8a8675a7379ac141e74059dd0,,,,,,,1994,"Arc World",,,,,,,,,,,,,,
"Impression Jr",,8eacd5856d3e8fcf643ecc575d668fda3fe530ca,,,,,,,19xx,"Computer Concepts",,,,,,,,,,,,,,
"Jet Fighter",,8ee37be632ec6082367bf31d65e94d8dc23a8d7c,,,,,,,1988,"MB Dixon",,,,,,,,,,,,,,
@,,8fa065cd44c9d2b298088f53585f2b9a2faf04e5,,,Lemmings,@,,,2001,"R-Comp Interactive",gb,,"[F1044101 - RPC-SA-Kinetic-RO4 Compatible Version]",,,,,,,,,,,
"Son of Gyrinus",,8fe8175b18062566e50bce0c49d019d3940f655f,,,,,,"(Disk 1 of 2)",19xx,"Cooper, Tom",,a,"a 1",,,,,,,,,,,
"Multi-Program 04",,906b75f3d2ee3d9c16b0069060ba00d33c6da980,,,,,,,19xx,,,,,,,,,,,,,,,
