"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,00f6d2717e57029bad047fac49b3f8332cf00d74,,,"Tecmo Super Bowl: TE Season 4 Week 08",,,,200x,"Tecmo Elite",us,@,"Tecmo Super Bowl",,,,,,,1,,,,
"Tecmo Super Bowl",,00f85fc078c9c5f4d55e1d5c914ecaacd2c88379,,,"World Tecmo League Division 2 Week 00: PreSeason",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
Contra,,0103887f489bcce044c73ad49057a714753b0517,,,,,,,2002,Konami,us,,"ripped from Konami Classics for PC",,,,,,,Buddha,,,,
@,,01060448902e47424e0499904967c6c74a250fb3,,,"Kalin no Tsurugi",,,,1987/10/02,Square,@,@,SQF-KRN,,,"en Filler - KingMike - Satsu",,,,,,,,
"Mouryou Senki Madara",,0109ea44cbf28eed32efc6a7ef7d7363cd642f95,,,,,,,1990/03/30,Konami,jp,,,,,,,,,,,,,
@,,010f6dc860b0bae80e55c199b3206e95ec14e31f,,,"Vs. Excitebike",,,,1988/12/09,Nintendo,@,@,FMC-EBD,,,,,,,,,,,
Egypt,,010fe0efa3b0529c34c0bcb2c67c28dbff3c8b99,,,,,,"J; T-Eng_Ramah; b1",,,,,,,,,,,,,,,,
"Street Fighter 2010: Final Fight",,010ffc3034705a8237cc519b2b68b32a3c2e3851,,,"Street Fighter 2010",,,"J; t1",,,,?,,,,,,,,,,,,
"Super Mario Bros. 2",,01109f80f62bf1b50b06527949ed4b8ca5c9499c,,,"Kunio in Fantasyland",,,"SMB2 Hack",,,,,,,,,,,,,,,,
"Legend of Zelda",,011293c906eca2317e9bc1e392cc20fbcee03a3f,,,"The Legend of Zelda",,"Legend of Zelda","Zelda 'Editable' Hack; b1",,,,,,,,,,,,,,,,
"Tecmo Super Bowl",,011339df3432519d40de77a7a41415635ee1af60,,,"Online Tecmo Football League S10 NYG-DEN Week 10",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
Hatris,,0114a406e0624d8fb04dbee1466b2c4797b2fe62,,,,,,,1992/04,"Bullet Proof Software",us,b,"b 1",,,,,,,,,,,
Faxanadu,,0116901f54dfc02a5e811658283bb59d94ac0abd,,,,,,,1987/11/16,Hudson,jp,,"mapper 2",,,,,,,1,,,,
"Joshua & the Battle of Jericho",,011a7ce0c86929a5788a67ed49c5dc587c53f991,,,,,,"v 6.0",1992,"Wisdom Tree",us,,,,,,,,,,,,,
Excitebike,,011e10ac97c0f4eed7fb3af76234cf4d333ffa47,,,,,,,200x,Nintendo,us,,"ripped from GBA e-Reader",,,,,,,1,,,,
Untouchables,,011e16289f77ef80962672f71673d1d70885d08d,,,"The Untouchables",,Untouchables,"v revPRG0",1991/01,Ocean,us,,,,,,,,,,,,,
"Mario Bros.",,0121f2e4e966f30dbbda37cc31c6f7d938cbc695,,,"Final Fantasy Bros",,,"Mario Bros Hack; o1",,,,,,,,,,,,,,,,
"Super Mario Bros.",,012249e87c5f343cab35e99291a4bd5479c45a8f,,,"Super Cyborg Bros",,,"SMB1 Hack; o1",,,,,,,,,,,,,,,,
"Sangokushi II: Haou no Tairiku",,01238f97cf5bbad5efb913388602efeb15742c2e,,,"Sangokushi II: Dream of Three Kingdoms",,,"Haou no Tairiku Hack",,,,?,,,,,,,,,,,,
@,,0124aac7a869e09f6e197e2ea1341819c53858a1,,,"Door Door",,,,1985/07/18,Enix,jp,o,"o 1",,,,,,,,,,,
@,,01283699a4dfc9a447f1c2aba24957419535972f,,,"Tecmo Super Bowl: GAG Season 1 Week 07",,,,2006,"Good as Grogan",us,@,"Tecmo Super Bowl",,,,,,,1,,,,
"Kaguya Hime Densetsu",,012bac18424430d44afb57ace05f71e17ce86cf7,,,,,,,1988/12/16,"Victor Ongaku Sangyou",jp,,,,,,,,,,,,,
"!Other Pirate Carts",,012c6167f2dd1ae56dad2d674818060b5a132949,,,"Street Fighter II: The World Warrior",,,"Unl; a1",,,,?,,,,,,,,,,,,
Megaman,,01316c585a9b64ac382e75c53d43ed1dad08d97d,,,Rockman,,,,1987/12/17,Capcom,jp,,v1.1-20060125,,,"ko dkny94",,,,,,,,
Rygar,,01334e84ef1fdc4e325698bf2e566987c59356bf,,,,,,,1990/03/30,Tecmo,eu,,99%,,,"es Kale",,,,,,,,
"Tetris {BPS}",,0135ee07f9b1c6723a135eb2eb67c5a8c6845e5a,,,,,,"J; REV0; o1",,,,?,,,,,,,,,,,,
Rambo,,0141b5d6ff8062384e0ea1e0a3ef325d809af298,,,,,,"v revPRG0",1988/05,Acclaim,us,b,"b 2",,,,,,,,,,,
Earthbound,,01490e9856e4c26d2cedea428cc0c9f765a2a1b8,,,,,,"Language proto",1991,Nintendo,us,b,"b 1",,,,,,,,,,,
"Tecmo Super Bowl",,014bdf2fd39feb1025b95954cace4c7d755afd02,,,"Tecmo Collegiate Athletic Association S3 Week 01",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
"Tecmo Super Bowl",,0156123ec5bdcd50e4c7adf551078bbcdce2079d,,,"Meatspin Players' Circuit S1 Week 16",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
"Teenage Mutant Ninja Turtles II: The Arcade Game",,015707f1b336ce07307680ea6ef1a7eca9664662,,,,,,,1990/12,"Ultra Soft",us,,v.20030417,,,"zh sakura team",,,,,,,,
"Balloon Fight",,0158aab374e70a0acea4182f4c852ec06c81d77c,,,,,,,1985/01/22,Nintendo,jp,o,"o 3; 100%",,,"no SSJAndy",,,,,,,,
"Hogan's Alley",,015ef32397acaae077a9a54d8ad315272b7b37b8,,,,,,,1987,FMG,jp,o,"o 1",,,,1,,,,,,,
"Hayauchi Super Igo",,0160a973291640aed0343baba139025458d5ec7c,,,,,,,1989/03/03,Namco,jp,,"enlarged rom, trans v.20031212",,,"zh cfido",,,,1,,,,
"Dig Dug",,016565b2079987ae7c982eef5c1cbd8e3b808eb5,,,,,,,1985/06/04,Namco,jp,o,"o 1; iNES title",,,,,,,Vimm,,,,
"Journey to Silius",,016565dc302dead62eba6f6b6f9b5f16ff589dd8,,,"Raf World",,,"J; t5",,,,?,,,,,,,,,,,,
Metroid,,016614fc143d56521aa1f4c211e41b604336066c,,,,,,"v revPRG0",1986/08,Nintendo,us,b,"b 1",,,,,,,,,,,
"Tecmo Super Bowl",,016ac0d01d171150b803f858e6c18813e639a7c4,,,"Tecmo Super Bowl NCAA Alumni Edition",,,Hack,,,,?,,,,,,,,,,,,
"Super Mario Bros. 3",,016cd1f41166e2953420dc0e07d600604a3e03eb,,,"CB Mario 3",,,,199x,"Colin Benson",,,"Super Mario Bros. 3",,,,,,,1,,,,
"Sky Destroyer",,016db66076bc9555d0a9e8a2daa39c57c85e3724,,,,,,,19xx,,jp,o,"o 1; iNES title",,,,1,,,1,,,,
"Super Mario Bros.",,01750a10b091a1a3c60ebec65b4b34330dc52573,,,"Promotion Mario Bros by 18 Craftsmen",,,"SMB1 Hack; a1",,,,?,,,,,,,,,,,,
@,,017715580b14cd5a02081fe6b28011389e95e195,,,"Puzzle Boys",,,,1990/11/16,Atlus,@,@,ATL-PUZ,,,,,,,,,,,
"Fire Emblem",,0179c550d424e0397496078789e7b116601d120c,,,,,,,1990/04/20,Nintendo,jp,,,,,,,,,,,,,
"!Multi-Game Pirate Carts",,017e9d6f8c37c4842b29986f3217a85a4893e4a1,,,"Study and Game 32 in 1",,,,199x,,,,,,,,1,,,,,,,
"Super Mario Bros. 2",,0181034b0f2d83bc4bef25151ec7be878f9f18a7,,,,,,"v revPRG0",1988/10,Nintendo,us,,100%,,,"fr Arkames",,,,,,,,
"Super Spy Hunter",,0183226e5d12acd383022e4db1be1a10fc3f827c,,,,,,"U; p1; !",,,,?,,,,,,,,,,,,
"Famicom Jump: Eiyuu Retsuden",,0187d7bd47235570c77446b8a5c9be3ce78dd8c8,,,,,,,1989/02/25,Bandai,jp,,,,,,,,,,,,,
"Conan: Mysteries of Time",,018f8150d94e2516897d52994840011a7559af25,,,Conan,,,,1991/02,Mindscape,us,,"iNES title",,,,,,,"Mindrape & EFX",,,,
"!Multi-Game Pirate Carts",,019226153a49a88b4d1d05dddc73be3f99648c89,,,9999999-in-1,,,"Menu; p1; b1; o1",,,,?,,,,,,,,,,,,
"Super Mario Bros.",,01926ed2b2deab7c2f0e302ec80459994f5b508e,,,"Akuma Bros",,,"SMB1 Hack",,,,,,,,,,,,,,,,
"Tecmo Super Bowl",,019449d8ba3b8db748b04c4f11115e663b17752e,,,"Classic Tecmo League Season Unk PreSeason 1",,,"Tecmo Super Bowl Hack",,,,?,,,,,,,,,,,,
"Double Dragon",,0195ceaa4ac2b7d2d49d2eb0f542a34d0e2af968,,,,,,,1988/06,Tradewest,us,,,,,,,,,3,,,,
"Bakushou!! Jinsei Gekijou 3",,01ab22682bc3855a0e4a48e777208b80071fef3a,,,,,,,1991/12/20,Taito,jp,,,,,,,,,,,,,
"Dragon Spirit: New Legend",,01b206f8cba9669fc6166a62b78c1522475d863a,,,"Dragon Spirit: The New Legend",,"Dragon Spirit - New Legend",,1990/06,Bandai,us,,,,,,,,,,,,,
"Deadly Towers",,01b68cd1356b6d52d070a503164bb161de032e7c,,,Mashou,,,,1986/12/15,Irem,jp,b,"b 1",,,,,,,,,,,
"Battletoads & Double Dragon: Ultimate Team",,01ba0fa9342c6f8e196eeb8dbf49a3407df37a34,,,"Battletoads & Double Dragon: The Ultimate Team",,"Battletoads and Double Dragon - Ultimate Team",,,,us,,,,"Inf Lives 5",,,,,,,,,
"Super Mario Bros.",,01bc9094ca8c58626576a11be8a55038fa88b29c,,,"Bald Mario",,,"SMB1 Hack",,,,,,,,,,,,,,,,
"Ninja Jajamaru-kun",,01bef27f76329b5b1d7469b2d548bad937f0e90a,,,"Ninja Jajamaru Kun",,,,1987,FMG,jp,o,"o 1; mapper 3",,,,1,,,1,,,,
@,,01bf102aef21716d94a390514c17aa110a65697f,,,"Tecmo Super Bowl: ATA Season 10 Week 04",,,,2006,"American Tecmo Association",us,@,"Tecmo Super Bowl",,,,,,,1,,,,
@,,01bfd8e1569ab76e37575b9c8fd9be1172a389e6,,,"Tecmo Super Bowl: MPC Season 1 Week 01",,,,200x,MPC,us,@,"Tecmo Super Bowl",,,,,,,1,,,,
"Legend of Zelda",,01c652ba3b1e26d267778a7ab83e0abdcd9aee5a,,,"Blink 4",,,"Zelda Hack",,,,,,,,,,,,,,,,
"Dragon Power",,01c74f9d24ee5fd6bfedbe18ddb13d01227d96e9,,,"Dragon Ball: Shen Long no Nazo",,,,1986/11/27,Bandai,jp,,"mapper 15",,,en,,,,2,,,,
"Michael Andretti's World GP",,01cc31b4b8bf2172f5332fe5d8652f9865d46e86,,,,,,,1990/06,"American Sammy",us,,"iNES title",,,,,,,Vimm,,,,
@,,01d051dd98c19c567cceb7e959e3b5376a0365e9,,,"Bomberman II",,,,199x,@,jp,@,"mapper 2, iNES title",,,,1,,,Vimm,,,,
"Super Mario Bros.",,01d0da53c2298bf72890012c98e95b85bd559d46,,,"Super Mario Bros 9 Demo",,,"SMB1 Hack",,,,?,,,,,,,,,,,,
Castlevania,,01d11b8fc910139a51164af3cc51d355d4e0395a,,,"Castlevania Retold",,,"v 1.1",2003/12/25,Dragonsbrethren,,,Castlevania,,,,,,,1,,,,
Tennis,,01d7768ba9f8db8ebceb0e9b9420fcbecf677019,,,,,,PC10,,,,?,,,,,,,,,,,,
"Dr. Mario",,01de1e04c396298358e86468ba96148066688194,,,,,,"v revPRG0",1990/07/27,Nintendo,"jp,us",,,,,,,,,,,,,
"Adventures of Bayou Billy",,01e2d55eeb916ba3534d4624a9ce1828629baaf6,,,"Mad City",,,,1988/08/12,Konami,jp,,,,,,,,,"Enlarged ROM",,,,
"Hudson's Adventure Island II: Aliens in Paradise",,01e5d01f129a327704f9f27a30906e298617e810,,,"Super Mario 9",,,,19xx,,xa,,K1107,,,,1,,,,,,,
"Last Ninja",,01ea132a014b655dfd0ef67da8629cec3a28eba1,,,"The Last Ninja",,"Last Ninja",,1991/02,Jaleco,us,,,,,,,,,,,,,
"Kero Kero Keroppi no Daibouken",,01eaeaf328c345cb385eb6850cca55bf53bf579e,,,,,,,1991/03/29,"Culture Brain",jp,,,,,,,,,,,,,
@,,01f0e6f4976bb1a98b80bd7ad71472acc8c56494,,,"Spy Hunter",,,,1987/09,Sunsoft,us,b,"b 5",,,,,,,,,,,
"Best Play Pro Yakyuu Special",,01f33eea6f86e315459d4ecd9fe09e61d2150c5f,,,,,,,1992/10/16,ASCII,jp,b,"b 1",,,,,,,,,,,
"Momotarou Densetsu Gaiden",,01f95010d926d5d9fd7e32f9baeee56e626fb5cd,,,,,,,1993/12/17,Hudson,jp,,"enlarged rom",,,,,,,1,,,,
"Nuts & Milk",,01fb16b25c764770f1012acf525e6d4553f3f3b2,,,Maluex,,,"Nuts & Milk Hack; o1",,,,,,,,,,,,,,,,
