"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Mischief Makers",,039a75636c34d219d489d0a84a671d00dc23e7c4,,,"Yuke Yuke!! Trouble Makers",,,,1997,"Enix | Treasure",jp,!,,,,,,,,,@,,,
"Bung Enterprises Doctor V64 BIOS",,03b248dab80b040318eb6e254c7c084b3a37e19a,,,,,,v2.01,1999,"Bung Enterprises",,?,,,,,,,,*,@,,,
"Dezaemon 3D",,03c85d19528ec48df4c3ad353e7eb86b476f175a,,,,,,,1998,Athena,jp,b,,,,,,,,,@,,,
"Legend of Zelda: Ocarina of Time",,03d02470fe2e06cb1ec41642142e3887ca330f27,,,,,,v1,1998,Nintendo,us,?,,,,es,,,,,@,,,
"International Superstar Soccer 2000",,03e43b8a3143c0b39181a496889bc7895138e649,,,"Jikkyou J.League 1999: Perfect Striker 2",,,v0,1999,Konami,jp,b,,PAL,,,,,,,@,,,
"!Public Domain",,03f2c637a1baa750362cfe3988a8ce2c18b620bf,,,"DS1 Manager",,,v1.0,1998,"Magillicutty, R. Bubba",,?,,,,,,,,,@,,,
"Hydro Thunder",,03fa91aec0819654f1ad0d12bb81ce3f5d7d08ae,,,,,,,1999,Midway,fr,!,,,,,,,,,@,,,
"J.League Eleven Beat 1997",,0403902145ced0c42252981bc6c8fef2f76ccc08,,,,,,,1997,Hudson,jp,!,,,,,,,,,@,,,
"Mortal Kombat Trilogy",,040a7f7ae3dcfbc01762ff061bc9b706b79cc03a,,,,,,v0,1996,Midway,us,b,,,,,,,,,@,,,
"Castlevania: Legacy of Darkness",,043bf4a752933dd1c883bc20947d74717102bdc5,,,,,,,1999,Konami,us,?,,PAL,,,,,,*,@,,,
"Earthworm Jim 3D",,044dc6aa08cdc263936fd845aaba1e6f773d560a,,,,,,,1999,Rockstar,us,?,,,,ru,,,,,@,,,
"Snowboard Kids",,0451c58195d05790d8dd86a0b95b47559ee03ad9,,,"Snobow Kids",,,,1997,"Atlus | Racdym",jp,?,,,,,,,,*,@,,,
"RR64: Ridge Racer 64",,0460df22dc8eeead8471b121a8b8dc1d0dd7db07,,,"Ridge Racer 64",,,,2000,"Namco | Nintendo",us,?,,PAL,,,,,,*,@,,,
"1080º TenEighty Snowboarding",,04772fa85fc91a6c9b546b36b075186d45f82348,,,,,,,1998,Nintendo,jp-us,?,,*,*,,,,,,@,,,
"!Public Domain",,047b57f51bdd23b44c24026e1525fab461f3bfd1,,,"DS1 Manager",,,v1.1,1998,"Magillicutty, R. Bubba",,?,,,,,,,,,@,,,
"!Public Domain",,0482b8163b9a8e1e0447d117a3a1219d9ccbdd90,,,"Pips RPG",,,"Beta 7",1998,"Pips, Mark",,?,,,,,,,,,@,,,
"Gauntlet Legends",,0489dcce749c6a5102681d288ed0616a4b94e99d,,,,,,,1999,Midway,us,!,,,,,,,,,@,,,
"Fighting Force 64",,0497e7a764f1a659328727b80c1570b7d806b46c,,,,,,,1999,"Core Design | Crave Entertainment",us,?,,,,it,,,,,@,,,
"!Public Domain",,04a38d1e46a8f168223968753cd957b7fbef1e81,,,"Sinus Demo",,,,1998,"Fractal | Silo",,?,,,,,,,,,@,,,
"Star Wars: Shadows of the Empire",,04a4ee78297d2c19df96010f68146ea69bf2cb14,,,,,,v2,1996,LucasArts,us,b,,,,,,,,,@,,,
"Super Mario 64",,04a89ed6b11dd314f631cb3087b008c1872bcf19,,,"Super Waluigi 64",,,,,Shadowyoshi2011,us,,,,,,,,,8,@,,,
"Mr. Backup Z64 BIOS",,04b0fbf7156eb39b03854e3ed10325a14b1b79e8,,,,,,v2.11,1998,"Mr. Backup",,?,"NTSC Patches",,,,,,,,@,,,
@,,04b68e1937c79aec9a25d9f3c95c58177b0215a6,,,"Super Mario 64",,,@,1996,Nintendo,us,@,@,@,@,@,@,@,@,148,@,,,
@,,04bb1b64d3c0c9621c76409e772fbaf54b5d5b9a,,,"Retroactive 64drive Menu",,,v1.03,2011,Retroactive,@,@,@,@,@,@,@,@,@,@,@,,,
