"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Air Power: Battle in the Skies",,005f455f195637a797e229abd42c6adfc3dd439e,,,BFBPIRT5,,,,,,,?,,,,,,,,,,,,
"Fantasy Football 95",,005f840e5950d11dcb738dc5fcd017a189874e31,,,DRAFTFM,,,,,,,?,,,,,,,,,,,,
"Definitive Wargame Collection, The",,005fa204071562f5b665259bd87a65127856d857,,,EV,,,,,,,?,,,,,,,,,,,,
"Super Stupid Space Invaders",,00619528307ee0564186734fb42d8ca21ec029a9,,,SSSI,,,,,,,?,,,,,,,,,,,,
"Lands of Lore: The Throne of Chaos",,0066729f35b2b0c5e8e854f162444655ddf6c01d,,,SETUP,,,,,,,?,,,,,,,,,,,,
"Roller Coaster Rumbler",,0068476db0f2306e6b96e48a900a2f668ad4ef2f,,,ROLLER,,,,,,,?,,,,,,,,,,,,
Troopers,,007406c2da92a8150dc17c1392c624924082f8c5,,,SNDSET,,,,,,,?,,,,,,,,,,,,
"Construction Bob Escapes From Hell",,007406c2da92a8150dc17c1392c624924082f8c5,,,SETUP,,,,,,,?,,,,,,,,,,,,
"Champions of Zulula",,007406c2da92a8150dc17c1392c624924082f8c5,,,SETUP,,,,,,,?,,,,,,,,,,,,
BlobbyDash,,007406c2da92a8150dc17c1392c624924082f8c5,,,SETUP,,,,,,,?,,,,,,,,,,,,
"World Trophy Soccer",,0075f4a745ec4859dd54658153ae4ae0127276f2,,,wtsask,,,,,,,?,,,,,,,,,,,,
"Prince of Evil",,00775b7e47801655176163d04be9041d3273d1b5,,,boss3,,,,,,,?,,,,,,,,,,,,
"Star Command",,007861aed688cb062a4e03211698fa2d03f17691,,,Color,,,,,,,?,,,,,,,,,,,,
Speedball,,007c331c41e18a2f91caf304b5033d8fb9ac5491,,,cga,,,,,,,?,,,,,,,,,,,,
"Dawn Patrol",,0081fd7c9ce54843b071e2bec3dcc8e501165468,,,BFGUYSP3,,,,,,,?,,,,,,,,,,,,
"Yo! Joe!",,00839b11300b0df4e939b4102226a38815c6b977,,,yojoetrn,,,,,,,?,,,,,,,,,,,,
"Olimpiadas 92: Atletismo",,0083c5c74d3d0852d7ddd93abb314de9442f80a5,,,OLIMP,,,,,,,?,,,,,,,,,,,,
"Battle Cheese",,008414a10be635a5b34a4db88eb6a90080705246,,,INSTALL,,,,,,,?,,,,,,,,,,,,
Overlord,,00860ad10eb59ecf2a2b43b3de699bbd12dea80a,,,bfbrffo6,,,,,,,?,,,,,,,,,,,,
"Flying Corps",,00886248f2c5e9e269a4bb6f2dbd9843a84129fc,,,D3PT1,,,,,,,?,,,,,,,,,,,,
"Super Stardust",,00895e833e599ba72001a7da67fd4ccb1222b0a4,,,SETUP,,,,,,,?,,,,,,,,,,,,
Keno,,0089b69108d2a34768004b859f0daf0e7146331a,,,KENO,,,,,,,?,,,,,,,,,,,,
"Word Challenge",,008cc2294df71950f51fafa2d2f7437902b281fc,,,WC,,,,,,,?,,,,,,,,,,,,
"Hard Nova",,008d0f4404bcbec4b75858a40e27d024d292b7ff,,,STATION,,,,,,,?,,,,,,,,,,,,
"Where in the U.S.A. is Carmen Sandiego",,008d77659d416d42bc40eba508f84fb714005fe7,,,CARMEN,,,,,,,?,,,,,,,,,,,,
"Tyrian 2000",,008dcb36d5ac349a3ed01f85924b323d794ecca2,,,SETUP,,,,,,,?,,,,,,,,,,,,
"Rise of the Dragon",,00953168e8a7f865978c927f4ccf26cd1ebf7d54,,,INSTALL,,,,,,,?,,,,,,,,,,,,
"Waterworld: The Quest For Dry Land",,0099f7cff744a13419b425ee731508db9b06cc48,,,WATER,,,,,,,?,,,,,,,,,,,,
"Aces of the Deep + Expansion Disk",,00a1bbec22097acc64760e416b8bc89eeb95cec6,,,AOD,,,,,,,?,,,,,,,,,,,,
"Pinball Dreams",,00a827dfe0a40c05ad0ab16e13f0c28a7e575a65,,,PD,,,,,,,?,,,,,,,,,,,,
"APBA Pro Football v5.0",,00ab51752aab815e20c1cdc5c9510bcdea0368c5,,,STAT,,,,,,,?,,,,,,,,,,,,
"Zapper in Neverwhere",,00acd94a88a81a96b35364762f0abaa5e8f1b733,,,Z0ZAPP,,,,,,,?,,,,,,,,,,,,
"Indian Commander in Robot Confrontation",,00af81da78e909e02885d8ca4fac9f32b2ce43a7,,,INDIAN,,,,,,,?,,,,,,,,,,,,
"Isle of the Dead",,00b07e02f395c7df4910d007c7956db98cb1f8da,,,INSTALL,,,,,,,?,,,,,,,,,,,,
"MythMaster: A Vagabond's Adventure",,00b1d3881e652ca726e7dbd634fb6d6dcdafdcb9,,,MM1,,,,,,,?,,,,,,,,,,,,
"Epic Pinball",,00b369b13bc40c67a8d1bbb1e72abc2b62b70292,,,EP1,,,,,,,?,,,,,,,,,,,,
"Epic Pinball v2.0",,00b369b13bc40c67a8d1bbb1e72abc2b62b70292,,,EP1,,,,,,,?,,,,,,,,,,,,
