"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"Dark Chambers",,72c77e330825c0b82af7f6df310304152a54631c,,,"Dark Chambers",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
"Space War by Eric Ball",,738f43e30fba8a32ed74a45067fa21ab15e564bd,,,,,,"(V20031018) (PD)",,,,,,,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,75466954e39abd99bcc24c647865766ee6ce3f16,,,,,,(V20041030-Rev08_CC2),,,,,,,,,,,,,,,
Galaga,,759d582fdbfa92f451b6c4a8bc739fc3e9f7128e,,,Galaga,,,"Video PAL",1987,Atari,,,,,,,,,,,,,
Baseball,,776513b6408bb81ec3436cc8006db826a5bc83fd,,,Baseball,,,"Video PAL",1989,"Absolute Entertainment",,,,,,,,,,,,,
"Robotron: 2084",,77c3445993f2d0a2acf0a453ef80bc31e047b932,,,"Robotron: 2084",,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
"3D Asteroids",,7874a9c33bcfdea480932c34307a7623891c27de,,,"3D Asteroids",,,"Video NTSC; Language proto",1984,Atari,,,,,,,,,,,,,
Rampage,,78b58a68239e2016b15699f0c113984487156c22,,,Rampage,,,"Video NTSC",1989,Activision,,,,,,,,,,,,,
"Tank Command",,7bc65ab655ff9360ecb4c12adea430b0ffda7404,,,"Tank Command",,,"Video NTSC",1988,Froggo,,b,"b 1",,,,,,,,,,
"Tower Toppler",,7c5e2a16e8c8d88b044e5ff26355c56510830188,,,"Tower Toppler",,,"Video NTSC",1988,Atari,,o,"o 1",,,,,,,,,,
Commando,,7d56547db021ed5ab5511ba1015f395ba1d6c70f,,,Commando,,,"Video PAL",1989,Atari,,,,,,,,,,,,,
Crossbow,,7fbe0ab6da1bc6587f8bf3173d934ab790fa514c,,,,,,"(1988) (Atari) (PAL) (CC2 Hack)",,,,,,,,,,,,,,,
"Senso 7800 Test 5",,7fc7dfa46d6189422e008d978c09ea1e96734ed9,,,"Senso 7800 Test 5",,,"Copyright Public Domain",2001,Taquart,,,,,,,,,,,,,
"Tank Command",,807505a3af7458622c5dffc62da1d608826f917a,,,"Tank Command",,,"Video NTSC",1988,Froggo,,,,,,,,,,,,,
"Title Match Pro Wrestling",,80cc587f905781d50dc32b64ac2c3daf7d159a74,,,"Title Match Pro Wrestling",,,"Video PAL",1989,"Absolute Entertainment",,,,,,,,,,,,,
"Pete Rose Baseball",,80ed091b4081c134ea57b8e96fc3825b1d98e7b2,,,"Pete Rose Baseball",,,"Video NTSC",1989,"Absolute Entertainment",,,,,,,,,,,,,
@,,816073f9dd490c34e64db4b246bca0ec0e0834fb,,,Meltdown,@,,"Video NTSC",1990,Atari,@,,,,,,,,,,,,
"Super Skateboardin'",,8283a91b59b4a3b25ef479ba855b4af1b3b72a2d,,,"Super Skateboardin'",,,"Video PAL",1988,"Absolute Entertainment",,,,,,,,,,,,,
@,,85475e9cb0e6a065960c6c0a337b4a2a65299511,,,Xevious,@,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,
"Space War! Rev 20040318",,85d6471cf423e4f16ed415bfe529605a39aee0f2,,,"Space War!",,,"v rev20040318; Copyright Public Domain",2004,"Eric Ball",,,,,,,,,,,,,
"Summer Games",,86383e6553453a353fb641b60f7021662bfc6553,,,"Summer Games",,,"Video NTSC",1987,Atari,,b,"b 1",,,,,,,,,,
@,,86b33e9169d7e365187c13424fedc2e61beacbc9,,,"Ace of Aces",@,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,
Basketbrawl,,87b0740a5f042a61a0c38b25c0425638eebeb11f,,,Basketbrawl,,,"Video PAL",1990,Atari,,,,,,,,,,,,,
@,,88cdff3f0dc80433fd5df86e4aa093faa36d34f5,,,"Diagnostic Test Cartridge",@,,"Video NTSC",1984,Atari,@,,,,,,,,,,,,
"Beef Drop 7800",,8af67b3d117c2af262db1b7d432e30ea5a33088c,,,,,,"(Oct 26-Rev 05) (2004) (PD)",,,,,,,,,,,,,,,
"Double Dragon",,8c782aa3faaef83f76f53e446a676881a4f44eb0,,,"Double Dragon",,,"Video PAL",1989,Activision,,,,,,,,,,,,,
"Dark Chambers",,8e1866b33515d742bc0e1db0df0165f1c55694b9,,,"Dark Chambers",,,"Video NTSC",1988,Atari,,,,,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,8e73b2d1a29ba733fd1cb946b68ce26e9cd15c24,,,,,,(V20041109-Rev14),,,,,,,,,,,,,,,
"Impossible Mission",,8edb423291b3d954b1a04a0fa8704856f3f8a2c3,,,,,,"(1987) (Atari) [a1]",,,,,,,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,8edf841480ec4577f683a4074877ae70e270b557,,,,,,(V20041103-Rev09),,,,,,,,,,,,,,,
Centipede,,8f395f48971ed55e97f41f2286e10dcc5a14c066,,,Centipede,,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
Meltdown,,8f626b39072acde7d01470d72dbed547824ed0a0,,,Meltdown,,,"Video PAL",1990,Atari,,,,,,,,,,,,,
"F-18 Hornet",,8f76d508c35f94dddaea0b70b7b0cb81e33a6291,,,"F-18 Hornet",,,"Video PAL",1988,"Absolute Entertainment",,,,,,,,,,,,,
"Barnyard Blaster",,8f8e37d9b6859953fdcd03beadac1166ecf026e0,,,"Barnyard Blaster",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
"Super Huey UH-1X",,8fe3620de6d630e8a1aeb30291940f7589532956,,,"Super Huey UH-1X",,,"Video NTSC",1988,Atari,,a,"a 1",,,,,,,,,,
"Color Selector",,90106bb2ccad6499f2879864ba452439f7740b48,,,"Color Selector",,,,1987,Atari,,,,,,,,,,,,,
"Donkey Kong Junior",,90d491e1dcb5aae2bc82e851ace60a5eed7c3b4f,,,"Donkey Kong Junior",,,"Video PAL",1988,Atari,,,,,,,,,,,,,
Galaga,,93a3b9c5348bbfd3bad6ec2bd922857a66dbb73a,,,Galaga,,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
"Beef Drop 7800 by Ken Siders",,93ed412867351c4ddaf79fb3f61daebc0821ff36,,,,,,(V20041029-Rev07),,,,,,,,,,,,,,,
@,,950ec20374630cbbb53d03543b7c56e6f923b96d,,,"One-on-One Basketball",@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
"Tubes by Bruce Tomlin",,96313a291f3edbb9ba1b1e202a20e517d6c66c2d,,,,,,"(V20041103) (PD)",,,,,,,,,,,,,,,
@,,96515fd5d0c7b3ec507469d5f47d377bdb1ab6fe,,,Galaga,@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
"Desert Falcon",,97fea37888741279cf21e09ec46f6325e87ac2ae,,,"Desert Falcon",,,"Video PAL",1987,Atari,,,,,,,,,,,,,
"Hat Trick",,9a154c4faeb10167eeac65206892ad9a1b9f8364,,,"Hat Trick",,,"Video NTSC",1987,Atari,,a,"a 1",,,,,,,,,,
@,,9bdbc4d628f06e425d50a4e2a67cc7806360d94d,,,"Super Huey UH-1X",@,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,
"Pete Rose Baseball",,a1bfa87625cf06217f7728375601909a5118cc63,,,,,,"(1989) (Absolute) [o1]",,,,,,,,,,,,,,,
@,,a3af676991391a6dd716c79022d4947206b78164,,,"Atari 7800 High Score Cartridge BIOS",@,,,2000,"Atari - GCC - Gary Rubio",@,,,,,,,,,,,,
"Tubes by Bruce Tomlin",,a4000c40c7b72eb218bc45d790fef6f623fe062e,,,,,,"(V20041103_Signed) (PD)",,,,,,,,,,,,,,,
Centipede,,a4d28b28960a9473d97d266a69f413834fb4f588,,,Centipede,,,"Video PAL",1987,Atari,,,,,,,,,,,,,
@,,a60b690351ccc1b03de6f4b8945eb54f2dee762e,,,"Dig Dug",@,,"Video NTSC",1987,Atari,@,,,,,,,,,,,,
Choplifter!,,a7fdc4abfd6c47d867e3c9b165ad902829d723a9,,,Choplifter!,,,"Video PAL",1987,Atari,,,,,,,,,,,,,
"Double Dragon",,a83fd5fa9ef368e216c03f11dbf6c9838c3c9572,,,,,,"(1989) (Activision) [b1]",,,,,,,,,,,,,,,
Crossbow,,a850930af7c688febe85b4ae745cb320ed58f667,,,,,,"(1988) (Atari) (CC2 Hack)",,,,,,,,,,,,,,,
"Beef Drop 7800",,a93429788f0e25820555aaa80555cfd08dd2037c,,,,,,"(Oct 22-Rev 04) (2004) (PD)",,,,,,,,,,,,,,,
"Impossible Mission",,aa46b44bb579a82a85a03307bc474a6f19f209ab,,,"Impossible Mission",,,"Video PAL",1987,Atari,,,,,,,,,,,,,
"Fatal Run",,aac1881255b4429a2fa13fcb003c2290bce5687c,,,"Fatal Run",,,"Video NTSC",1990,Atari,,,,,,,,,,,,,
