"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,41af0a1d8e4aa67b162394abf770e4a812f59a9f,,,"Conquest of Zow",,,,1996,"Dodgson, Harry",,,,,,,,,,,,,,
"EEPROM Check",,41bf8bbe4383e40bd91f0ab1fe3043e5c7a3b271,,,,,,,1996,"Schick, Bastian",,,,,,,,,,,,,,
"Battle Wheels",,42f8a53fdba03358a65e82db81067e8e9aaba30b,,,,,,,1993,"Beyond Games",,,,,,,,,,,,,,
"Sprite Ed",,4484216d83f769d2005e5a638a12c54a3496db97,,,,,,,1996,PD,,,,,,,,,,,,,,
"Batman Returns",,45df55597bae86b9184861d64d1a1d770f1e8c40,,,,,,,1992,"DC Comics Inc",,,,,,,,,,,,,,
@,,469e4f887d01ce240732efb4059024da8ef39565,,,"Asteroids Chasers",,,,2020/08/16,Fadest,,,,,,,,,,,,,,
"Gordo 106: Mutated Lab Monkey",,46fd69c68cb0929a2d21ecc5225390b7425ae3f4,,,,,,,1992,"Tenth Planet",,,,,,,,,,,,,,
"Chip-8 Emulator",,47fa17a6f0e6269c84264f1bed3101e21e293520,,,,,,v0.2,2004,,,,,,,,,,,,,,,
"IRQ Test",,48c9f3abc7cf764405b56ccfd5563de3d9f86907,,,,,,,1998,PD,,,"a 1",,,,,,,,,,,
"Malibu Bikini Volleyball",,4a30e229a7aa9c3bd79ebaf6117d17d9056d5c8b,,,,,,,1993,"Atari Corp",,b,,,,,,,,,,,,
Rampage,,4a56552c64127d7303e79174a7440b772d020eec,,,,,,,1991,"Atari Corp",,b,,,,,,,,,,,,
"Super Skweek",,4a99491694bb384665b0d0932e659f466c4c289e,,,,,,,1991,"Atari Corp",,,,,,,,,,,,,,
"All Points Bulletin",,4abef1bc702319d4347d839ac8513193164a08a0,,,,,,,1990,"Tengen Inc",,,,,,,,,,,,,,
"Sprite Demo 2",,4c25a84fcf1e80a96a6aa43fca8836e004796b82,,,,,,,2000,"Domin, Matthias",,,,,,,,,,,,,,
@,,4d73a340629190d15533c8bf6f1fb21a503a0784,,,"Yastuna 2: The Space Incident",,"Yastuna 2 - Space Incident",v1.01,2021/01/19,Fadest,,,,,,,,,,,,,,
