"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
"G-Loc Air Battle",,144bd2f8f6e480829c50f71baa370a838e8cec41,,,"G-LOC: Air Battle",,,,1991,Sega,,,,,,,,,,,,,
@,,1478de1b99e830a8a8d8dcc92368c24b2af547d5,,,Pac-Man,@,,,2005,"Covell, Chris",@,,,,,,1,,,,,,
@,,14dff343ef3c10ef06ef3fdfb4985dfa79062379,,,"Lethal Weapon 3",@,,"Language proto",1992,Probe,@,a,"a 1",,,,,,,,,,
"Phantasy Star",,151f9260bda90521c6b6edcf152631cf1238567f,,,"Phantasy Star",,,"v rev3",1988,Sega,,b,"b 1",,,,,,,,,,
"Power Strike",,153c5ddc9eb2467451ce87e8d71229e26fdc7e9d,,,,,,"(UE) [o1]",,,,,,,,,,,,,,,
@,,15914753d727108cbdfb312da0f523ea914070b9,,,"My Hero",@,,,1986,"Coreland - Sega",@,b,"b 3",,,,,,,,,,
"World Soccer",,15f6ef8b3b926cab18671cb9bbd6f786bacfccfd,,,"World Soccer",,,,1987,Sega,,b,"b 1",,,,,,,,,,
"Space Harrier",,16124a25384339b0879c2b0d55d2920fe2a7202b,,,"Space Harrier",,,,1986,Sega,,b,"b 1",,,,,,,,,,
"Public Domain",,161a4fcc96a85deed4bf09e15a89f7c995ff19cc,,,"SMS Power! Demo",,,"v 0.32; Copyright Public Domain",1999,"Cornut, Omar",,,,,,,,,,,,,
"Mahjong Sengoku Jidai",,169510c0575e4f53b9da8197fc48608993351182,,,"Mahjong Sengoku Jidai",,,(beta),1987,Sega,jp,,,,,,,,,,,,
"Heroes of the Lance",,16b2219a1493c06d18c973fc550ea563c3116207,,,"Heroes of the Lance",,,,1991,"Tiertex Design Studios - U.S. Gold",,,,,,,,,,,,,
"Hang-On & Safari Hunt",,16bc6e3fcdd71470dbfa12bc33eb2864a7647b7b,,,"Hang-On + Safari Hunt",,,,1986,Sega,,b,"b 1",,,,,,,,,,
"Smurfs Travel the World, The",,16f756e00314781e07af84c871e82ec8e0a68a57,,,"Les Schtroumpfs 2",,"Schtroumpfs 2, Les",,1995,Infogrames,m4,,,,,,,,,,,,
"Micro Machines",,16fece472a2c490ea10df276dbae6901e87116bc,,,"Micro Machines",,,,1993,Codemasters,,b,"b 1",,,,,,,,,,
"Flash, The",,1732b4c13fd00dd5efc5bf1ccb1ab6ed3889c8ba,,,"The Flash",,"Flash, The",,1993,"Probe - Sega",,,,,,,,,,,,,
@,,1736b8891bfaa24ce1c2bec660e24aba6c58bbe2,,,Zillion,@,,"v rev1",1987,Sega,us,b,"b 3",,,,,,,,,,
"Doki Doki Penguin Land",,176e2d2648b20e6fac823021697138803ef38b27,,,,,,(SG-1000),,,,,,,,,,,,,,,
