"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
100000Pyramid,,53b44dbabc9881b8eaa7bb722d17f31901a3dd71,,,,,,,,,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 108",,0853ec3d7770f63d14897166270d39d031fd2433,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 109",,ae86699b29aed114ffa77a5179b19e92ef1fc4cd,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 110",,b6cad2c6d6e6fe01d4e813fc0f350ea7ad6ca1e6,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 111",,3f328be460da4bed14a7e34ebe1fb6a649751422,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 112",,c35626c4651ee59415ef4896b8b914a157358e55,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 113",,1eb02c33c27c7dc379c1e56e16834bbefcafb695,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 114",,a475cac9496d5fd8a67b41c69cb7e152d0d3f64d,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 115",,837d9e2147c64e3f5ef9748d0ca06d5ad1ca1489,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 116",,52707b7de707156942e4401e7795e5ebdb6c1dbe,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 117",,ea524234c2c9b4e98144e72249851166fbf78486,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 118",,781415dcf0cd0d42eb62fda9e24f38989a318534,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 119",,21b4ec42f812d26f2612ff461e51355c3967554e,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 140",,dbed63e6df5e4d67558f773c9759b53a14de00c2,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 141",,80b7656f88df88ad10106a17b6b773ce2a25c011,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 142",,55692b632af5a55fccaeb183670b1bdc8683f44b,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 143",,a26efdf61b2e08580fcd2be09047ca58160120ff,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 144",,3fc2cdd0e31bf9ab149f61f4b4b83d0f27281713,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 166",,a0e157003b64c4994273051d2f34e23493c11a99,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 167",,91688382a8a9ab3edd534c002a6e43381b3d0f27,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 172",,bdba94400525551d92fd2ebbae2995050373d514,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 173",,d3f153390b077aff252aa879c0ce9d77f8ca41c9,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 174",,6f6107d97f7b93aee2a6eb68271c2ca284118d8c,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 175",,b19b0ace106bbd83948a0f315af70f5bb6e90705,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 176",,6e451b870866d15b8d1ff4fa5149e3021a60e264,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 182",,63e84114c5189665e59699d285f63c3e226d6cf0,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 183",,fa9d680828d63dece1c4a5881467b414d138a43d,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 185",,fba7b9708bd7caad7754511a4d9b5abb8fea07b7,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 190",,0c70e41579db8c36d8f050cfecfb33e5dccad926,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 191",,d48363fd3507ee612f55bee4366932f3800f8271,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 196",,3543bf4dd907d7d53a8826ebcb5fb6de291130cd,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 197",,4155a4f69e56166d8885c34e0c84585b42d5a884,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 198",,424ffde598f52426077f7ca65ed250ae0847e8ba,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 199",,a2f5d516412630d769ca787bb2484572ee69e13d,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 210",,8eaf418d22372c36b4703434280b97852a5e7606,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 214",,4824e12bb733c5c83eab9d7b19a093420fad6fca,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 215",,fdb5c8b1b5285084577a4c0cbd5886cdc043e9aa,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 216",,abbc2fe28c5ce4d5d70ef5c05aaca45540c2fd54,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 217",,a97d309355460087aed2398c8c521cf6d35275cb,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 218",,90b2a08f2664864fe707d98305f7ba9d50b6bff7,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 219",,0c20e12f76c887f9203888a8e04f8e22af0241be,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 220",,f9665e6210f7daa267118827fb6b16e95fb109ef,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 221",,a11f82a942c44b502cd523b079e723b1eeb74463,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 222",,5eeff6d7ba0666b860459d7cbef0f0ec124a7321,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 223",,3984cd51d57e2da8221075fd725c0f9455c7b494,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 224",,21ba7f47f9e866868daeee45a0afde51065107bb,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 225",,1b182cdf174f6b45605195c72982ae9b11dcf678,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
"A.P.P.L.E PDS: Disk 226",,0535aa7619a7c70dfd857483f104998de5267e23,,,,,,"Copyright Public Domain",1984/01,A.P.P.L.E.,,,,,,,,,,,,,
