"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,03fcc2b46edee5ac416ca6f85306faa10a60d81b,,,"Battletoads & Double Dragon: The Ultimate Team",,"Battletoads and Double Dragon - Ultimate Team",,1993/12,Tradewest,us,,,"Everdrive - PAL",,,,,,"NES sounds Ti",,,,
@,,03ff06463814d48340eccfcd38e22c1f1c85d5da,,,"The Adventures of Batman & Robin",,"Adventures of Batman and Robin",,1995/06,Sega,eu,,,"NTSC GhostlyDark",,,,,,,,,,
"Jimmy White's Whirlwind Snooker",,040c810ccbe6310d369aa147471213d898ec2ad5,,,,,,,1994/11,"Virgin Interactive",eu,,,,,,,,,,,,,
"Jantei Monogatari",,040e07bb9207dd481e5e68a575d3bb8302fbda18,,,,,,,,,jp,b,,,,,,,,,,,,
Weaponlord,,04128e3859d6eca6e044f456f8b0d06b63e3fb0c,,,,,,,1995/09,Namco,us,,,,,,,,,,,,,
"California Games",,0417ff05bb8bd696cfae8f795c09786665cb60ef,,,,,,,1992/01,Sega,"eu,us",,,,,,,,,,,,,
"Star Trek: Deep Space 9: Crossroads of Time",,042e39941ec84bb5d20439f620a4e402220de327,,,,,,,1994/09,Playmates,us,,,,,,,,,1,,,,
@,,04316a517f50edf7357b44802e4f13144b4c033a,,,"X-Men 2: Clone Wars",,,"v19941215 / beta",1994/12/15,Sega,"eu,us",,,,,,,,,,,,,
Rampart,,0448e13b2ca8b2d7082b2556d0f668677ee480fc,,,,,,,1992/08,Tengen,us,b,,,,,,,,,,,,
"Ultimate Mortal Kombat 3",,044bfdb3761df7c4d54a25898353fabcd3f604a3,,,,,,,1996/06,Acclaim,eu,,,,,,,,,,,,,
"Fire Mustang",,044c8b4bdc7f1048d4287a2716af8547a5b52c93,,,,,,,,,jp,,,,,,,,,h1C,,,,
"WWF Royal Rumble",,044fdfc220e0912c424106556ea9feac234aa63e,,,,,,,1993,"Acclaim - Flying Edge",,b,,,,,,,,,,,,
@,,04542a22531ceb784727ee5ef399786313dcf22f,,,"Teenage Mutant Ninja Turtles: Vozvrashcheniye Legendy",,,,19xx,KDS,ru,,"AKA Teenage Mutant Ninja Turtles - The Legend Returns",,,,1,,,,,,,
@,,0454f849a87c803f805fb76d1f77d51792a2e92b,,,"Muhammad Ali Heavyweight Boxing",,,,1992/11,"Virgin Games",eu,,,,,,,,,,,,,
"Bubble and Squeak",,0457b0220c86f58d8249cbd5987f63c5439d460c,,,,,,,1994/05,Sunsoft,us,,,,,,,,,,,,,
"Super Smash T.V.",,0459f7c61f152fa0afa98d96ef9fbe4964641f34,,,,,,,1992/08,"Flying Edge","eu,us",,,,,,,,,,,,,
"Spider-Man and Venom: Maximum Carnage",,046044ff94e5614ab117affb68d62b21ad660534,,,,,,,1994/08,Acclaim,,,,,,,,,,1,,,,
"Sonic The Hedgehog 2",,0470cfa65f04ec44fefeeb879b773e8719dabb00,,,,,,"vRev1 / Beta",1992/11/21,Sega,,,,,,,,,,3,,,,
"Mario Andretti Racing",,0476f84efcc6f0b2c422111047f6cb4a02c1dac6,,,,,,,,,ue,,,1,,,,,,,,,,
@,,048087c27cee1337eeb154647c5fb4eb26c9b1c9,,,"YM2612 Live Player",,,,2016/12/11,KStorm,,,,,,,,,,,,,,
"Combat Cars",,04855be11ad81d28970ea33ab4d222cf220991a3,,,,,,,,,ue,,,1,,,,,,,,,,
"Combat Aces",,0492bcd5341e768455bd353e786fac74837289af,,,,,,Beta,,,,,,,,,,,,,,,,
@,,04ab087f0eeffc4c1db6d182f19a1b587f7b3a63,,,"Crystal's Pony Tale",,,v1.0,1994/10,Wave,us,,,,,es,,,,,,,,
Stormlord,,04c491af6252835d4557928814c9da157f8ad363,,,,,,,1992/03/27,"Micro World",jp,,,,,,,,,1,,,,
"Quack Shot starring Donald Duck",,04c763ca9a690b2ba4bd4b7f2ac987153961300c,,,,,,vRev1,1991/12/19,Sega,,b,,,,,,,,,,,,
"Alisia Dragoon",,04cf02a0004f2eba16af781dd55b946176bb9dbf,,,,,,,1992/04/24,"Game Arts",jp,,,,,,,,,,,,,
