"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Xs & Os",,281729d9f1a0fe3bf80ded5dc01fff23a6cea50f,,,,,,"(Bally Midway, 1983)",,,,?,,,,,,,,,,,,
Vortex,,2824f8a65e18832bc193e205bbb9a7936ca7d2b8,,,,,,(1981),,,,?,,,,,,,,,,,,
"PM El Dorado",,28389e17be8789622f2db38d5a402cec9cb1a959,,,,,,,,,,?,,,,,,,,,,,,
"electric cyclone 1.0",,28e73ffb1a956a85c6563827ced9bb34f2a0d8ea,,,,,,"(1930S schneider inc)",,,,?,,,,,,,,,,,,
Goldball,,28f22d9903ee7db579e3f7fe33e3363abbb4994f,,,,,,"(Bally 1983) v2.0 WIP",,,,?,,,,,,,,,,,,
"Black Hole, The",,292c3ff3661e2918e40292d7458ee1981cbee58e,,,,,,"(Gottlieb 1981)",,,,?,,,,,,,,,,,,
"Tiger Electronic Pinball: v2.2",,296b02944aacc22859076b2556e853453a9a9754,,,,,,,,,,?,,,,,,,,,,,,
"Space Gambler",,298d44a388411c168a1d7e8e647c4184d17cfe62,,,,,,"(Playmatic 1978)",,,,?,,,,,,,,,,,,
"The Raid",,29e0cb32d555714f1eeb9340fb9ad6626a665217,,,,,,"(Playmatic, 1984)",,,,?,,,,,,,,,,,,
"Night Rider 1.0",,2a22be91c6f1c0347378049d69cdf45a1efcbbcf,,,,,,,,,,?,,,,,,,,,,,,
"Flipperless Frogger v1.1b",,2ac6ecd7dce8ea3d9b911f0db8df1b960aca446c,,,,,,,,,,?,,,,,,,,,,,,
Mustang.Gottlieb.1977.1.2a,,2ae9bd6c2dee8cc3d249f26f360327fa049be106,,,,,,,,,,?,,,,,,,,,,,,
"Xenon b3",,2cc5784fb9a25790049f6e26e260787082226833,,,,,,,,,,?,,,,,,,,,,,,
