"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Vertical Force",,a15b2676e8fbcfd9aa13de5fc949227994d3cd39,,,,,,,1995,Hudson,jp,b,,,,,,,,,@,,,
@,,a1642a31a6cc5f3373c5d8bbf714e9da27d28b11,,,"Vertical Force",,,,1995,Hudson,us,,,,,,,,,2,@,,,
@,,a1dd46247d45dfc80097ce788c45faea29e3cc4f,,,GameHero,,,,2012,thunderstruck,,,,,,,1,,,,@,,,
@,,a51b261369523328d4b2fcc4f9bef094e465c0d4,,,"Wario's Gonna Win Demo",,,,2009,@,,,,,,,,,,,@,,,
@,,a5be7654037050f0a781e70efea0191f43d26f06,,,"Virtual Bowling",,,,1995,Athena,jp,,,,,,,,,,@,,,
@,,a6284c591049673b3e88f13ae75f1e15e3c8da2e,,,"Sample Soft for VUE Programming",,,v1.1a,1995,Nintendo,"jp,us",,,,,,,,,,@,,,
"Jack Bros.",,a973406590382ee503037271330d68d2834b79db,,,"Jack Bros. no Meiro de Hiihoo!",,,,1995,Atlus,jp,!,,,,,,,,,@,,,
@,,a9c95f87f31268e54a88e6abd1c8c5d937a2c983,,,"Vertical Force",,,,1995,Hudson,us,,,,,,,,,1,@,,,
@,,aa4a843eeaf2bb67ed23e48ccbf9e43849a763d1,,,GoSub,,,"v20090414-1 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,aa800f8d2af59d71f12c55d212cabdd4bec3ec97,,,"MIDI Music Player",,,,2008,"Bergman, Dan",,,,,,,,,,,@,,,
@,,aadbc9c8826bf5e1ee95084c24d2249c52f50330,,,"Mode7 Demo",,,,2009,dasi,,,,,,,,,,,@,,,
"Virtual League Baseball",,ab8fa82b79512eefefccdccea6768078a374c4aa,,,"Virtual Pro Yakyuu '95",,,,1995,Kemco,jp,!,,,,,,,,,@,,,
@,,abb4117a0f0b4a9ade251d72da58dacbfadc03f1,,,GoSub,,,"v20090415-1 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,ac2c5aa4131f5d076634438835b7e7eb33c1b4a5,,,GoSub,,,"v20090429 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
@,,ac6d441370994b3000119afffbd4a200014c5a51,,,"VB Racing",,,,2008,"Kujaczynski, Martin",,,,,,,,,,,@,,,
@,,adac6d632daab412f5c8138b3754659ee86f6590,,,"Mandelbrot Explorer",,,"v20101030 /",2010,"Skiles, Collin",,,,,,,,,,,@,,,
@,,aea8add779bd5c3fa392b6f4c9e24d940709ba39,,,GoSub,,,"v20090415-2 / / beta",2009,"Read, Chris",,,,,,,,,,,@,,,
