"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
@,,4dcf0e28aa68027c378a1fb77070979a2fb9ef42,,,"Yu-Gi-Oh!: Duel Monsters International: Worldwide Edition",@,,"v rev0",2003,Konami,jp,,,,,,,,,3,,,
Doom,,4eee288b8b388cfaf983700953ffb1827c528139,,,,,,"(U) [h5IR]",,,,,,,,,,,,,,,
"Mother 3",,4f0f493e12c2a8c61b2d809af03f7abf87a85776,,,,,,(Japan),,,,,,,,,,,,,,,
Doom,,4f3bce0528c635861c9e99c1dd6e70ef4e4b1289,,,,,,"(U) [h4IR]",,,,,,,,,,,,,,,
"Final Fantasy V Advance",,4fc4bc7c1c3abe9d2f9c59a3ae4172b5cb57bd2c,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
@,,4fc500bee894edebe3c84569fca2910cb4fad406,,,"Yu-Gi-Oh!: World Championship Tournament 2004",@,,,2004,Konami,eu,,,,,zh,,,,,,,
@,,4fe552b76843b6555d1a8d6dedc6146a926488cf,,,"Yu-Gi-Oh!: The Eternal Duelist Soul",@,,,2002,Konami,us,,,,,pt,,,,,,,
"Serious Sam Advance",,4ff48d8c18b70a5184758f1917343ae85a70858e,,,,,,"(E) (M3)",,,,,,,,,,,,,,,
@,,510fbba212aca9bab95ea12f8fd933e62ee34dea,,,"Yu-Gi-Oh!: The Eternal Duelist Soul",@,,,2002,Konami,us,,,,,,,,,,,,
"Fire Emblem: The Sacred Stones",,51b166dcca231369d7f98000766746dd4b98839c,,,"Fire Emblem: The Sacred Stones",,,,2005,Nintendo,eu,!,,,,,,,,,,,
"Star Wars Trilogy: Apprentice of The Force",,51ffd3684d9bd8140d8c7969d7eb2096dd2424a5,,,,,,"(E) (M6)",,,,,,,,,,,,,,,
@,,5203f49c3b372b49dcb5c23f0dcbbb8432336081,,,Banjo-Pilot,@,,,2005,THQ,eu,!,,,,,,,,,,,
"Robot Wars: Advanced Destruction",,532f5fd5e22c140fc7cfba519f6e50c786c8bc85,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
@,,53d4ae06d1b605f8925c53d6c585478d73ff55c0,,,"Yu-Gi-Oh!: Worldwide Edition: Stairway to the Destined Duel",@,,,2003,Konami,us,,,,,,,,,,,,
"Yu-Gi-Oh!: Worldwide Edition",,540095380530df18c18cdaa071e5103e8cf18537,,,"Yu-Gi-Oh!: Worldwide Edition: Stairway to the Destined Duel",,,,2003,Konami,eu,,,,,,,,,1,,,
"Super Puzzle Fighter II Turbo",,54426ebd60d910f604a32405b439eff3c43c74ce,,,,,,(E),,,,,,,,,,,,,,,
@,,54a4dcdeca2ee9a22559eb104b88586386639097,,,"Zoku Bokura no Taiyou: Taiyou Shounen Django",@,,"v rev0; Language en,ja",2004,Konami,jp,,,,,,,,,,,,
"Boku wa Koukuu Kanseikan",,54bf631a49c031539d8b3dd5f98b050b0f4a202e,,,,,,"(J) (V1.1)",,,,,,,,,,,,,,,
"Megaman Battle Network",,569a540b071b4b815ee418bf3edc5d70179cd672,,,"Rockman EXE",,,"(J) [b1]",,,,,,,,,,,,,,,
@,,57d6bb789833b62b360072902982d5f1011b3640,,,"Yu-Gi-Oh!: GX Duel Academy",@,,,2006,Konami,us,,,,,,,,,,,,
@,,58034adf2cf788ed308286090987ca73f807a54f,,,"Castlevania: Harmony of Dissonance",@,,,2002,Konami,eu,!,,,,,,,,,,,
"Dan Doh!! Tobase Shouri no Smile Shot",,5853a8ec224890f42ad3a998ae62b64bffae1f2d,,,,,,(J),,,,,,,,,,,,,,,
"Powerpuff Girls, The: Mojo Jojo A-Go-Go!",,585ab2d70dd10d00d15d724ed76792dfd6d02236,,,,,,"(U) (M6) [o1]",,,,,,,,,,,,,,,
"NFL Blitz 2002",,590196c49eb4b33d933db60d58a1d0efd94b3f7b,,,,,,(U),,,,,,,,,,,,,,,
"Megaman Zero 4",,596993205a1895a6f51e80749407fb069b907628,,,,,,(U),,,,,,,,,,,,,,,
"Super Mario Advance",,5ab5ade42ea0c5f255b3fbf00cdcc07b71ba20b8,,,,,,"(J) [!]",,,,,,,,,,,,,,,
"Harry Potter and The Prisoner of Azkaban",,5be308501f0cfe0c30c60ef1fbf886707cdacd29,,,,,,"(UE) (M8)",,,,,,,,,,,,,,,
"Golden Sun",,5c4695205413df7db52b9a184815a07783999971,,,,,,"(UE) [!]",,,,,,,,,,,,,,,
@,,5c7daf9154d41aa1faac520123ee60735f27e88e,,,"Legend of Zelda, The: Fushigi no Boushi",@,,,2004,Nintendo,jp,a,"a 6",,,zh,,,,,,,
"Star Wars: Jedi Power Battles",,5d5dbfc9c0ed1f89629114429c93ef1b2e1165e5,,,,,,(U),,,,,,,,,,,,,,,
"Mario Party Advance",,5d67695c08afce4098264bd986a55739cb6636cb,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
"Dave Mirra Freestyle BMX 2",,5d98b5179f4e9ae7ae72d6a43bed5f046f881a7b,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
"Metroid: Zero Mission",,5de8536afe1f0078ee6fe1089f890e8c7aa0a6e8,,,,,,"(U) [!]",,,,,,,,,,,,,,,
"Worms: World Party",,5e0abe3d94d1489fadebe897df1ed5a5c0212901,,,,,,"(E) (M5)",,,,,,,,,,,,,,,
@,,5f47fd6ebd9738c85ac93b9faa0266c8abb26090,,,ZooCube,@,,,2002,"Acclaim - PuzzleKings",eu,,,,,,,,,,,,
@,,6014ca7c7af931d62634be4baa992a2fe187413f,,,"Zoids Saga II",@,,,2003,Tomy,jp,,,,,,,,,,,,
"Kuru Kuru Kururin",,6025ef597db2684ae064ffe22b4fd1d37941f887,,,,,,"(E) [!]",,,,,,,,,,,,,,,
"Alienators: Evolution Continues",,604a0c8ccb3009d831a757b34b8aadff6c05a77f,,,,,,"(U) [hI]",,,,,,,,,,,,,,,
@,,60f28391117e308a3a13e2171a2f9dbf80953806,,,"Zatch Bell! Electric Arena",@,,,2005,"Bandai - Banpresto",us,,,,,,,,,2,,,
"Spider-Man: Mysterio's Menace",,617077859a8705298e14b7666806631b3fa322a9,,,,,,"(U) [hI]",,,,,,,,,,,,,,,
@,,61e61abf112f15247fbed477206f59da8472ed4f,,,"Yushun Rhapsody",@,,,2001,Capcom,jp,,,,,,,,,1,,,
"Jurassic Park III: The DNA Factor",,62070841e3257e5e2cdebc8fa87f6a2be943774f,,,,,,"(U) [b1]",,,,,,,,,,,,,,,
@,,64f7bf0f0560f6e94da33b549d3206678b29f557,,,"Boktai: The Sun is in Your Hand",@,,,2004,Konami,eu,!,"[req. solar sensor]",,,,,,,,,,
"Yu Yu Hakusho: Spirit Detective",,66dc426b71195c11761f7ce58ffef231e8e227b1,,,"Yu Yu Hakusho: Spirit Detective",,,,2005,Atari,eu,,,,,,,,,,,,
@,,6816f044c3f4cac76e888c0ec36dc216e7c140d2,,,"Yu-Gi-Oh!: Sugoroku no Sugoroku",@,,,2004,Konami,jp,,,,,,,,,,,,
@,,6839254172e558923cde6a912a5ee537eec5fd40,,,"Dynasty Warriors Advance",@,,,2005,"KOEI - Nintendo",us,!,,,,,,,,,,,
"Super Mario Advance 4: Super Mario Bros. 3",,69e81f41394f02d64cad206adb26b3cd43690770,,,,,,"(U) (V1.0)",,,,,,,,,,,,,,,
