"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Kaitou Saint Tail",,3e4e7ec4a4ce5d48baed7d583ede8bb9f92a44a6,,,,,,,1996,Sega,jp,?,,,,,,,,,,,,
"Spider-Man and the X-Men in Arcade's Revenge",,4006a23571f194e1fcb3563557decd5d11e7b5c2,,,,,,,1994,"Acclaim | Flying Edge",us,!,,,,,,,,,,,,
"G-LOC: Air Battle",,407da6e4d0916d3f54ad1ba8d45face04dad5657,,,,,,,1991,Sega,eu-us,!,,,,,,,,,,,,
"Magical Taruruuto-kun",,40fae12f1d565849158ff87700e25d6967038867,,,,,,,1991,"Tsukuda Ideal",jp,?,,,,,,,,,,,,
"!Public Domain",,41151a06b3e0a5f2f9f56f41ee9f688777ee92ac,,,"SMS Power! Demo",,,v1.01,2002,"MacDonald, Charles",,?,,,,,,,,,,,,
Devilish,,421a416c71dd245d80b362af57d01c80547cf042,,,,,,,1991,"Sage's Creation",us,!,,,,,,,,,,,,
"Marble Madness",,42c5cd5afebbf860a8ad80ea684f9b216762109e,,,,,,,1992,"Atari | Tengen",xw,?,,,,,,,,,,,,
Mappy,,44d0b857d88a293da47dc161115422d830d81302,,,,,,,1991,Namco,jp,?,,,,,,,,,,,,
"Ayrton Senna's Super Monaco GP II",,44f2c2bfa6ab57c1fd533996a5e404ebaa07264b,,,"Super Monaco GP II",,"Super Monaco GP 2",,1992,Sega,jp,?,,,,,,,,,,,,
"Spider-Man vs. The Kingpin",,46b064b4b5a6444ce0e64e16a7e5cec2087fb4d3,,,,,,,1992,"Acclaim | Flying Edge | Sega",eu-us,!,,,,,,,,,,,,
Klax,,4705bbc862169cdfeb3b30dba6f274b094ab99b3,,,,,,,1991,"Atari | Tengen",eu-us,!,,,,,,,,,,,,
Pac-Man,,4801b9182a8cb29ef2ac24eba95eb3346c2fd7ff,,,,,,,1990,Namco,jp,b,,,,,,,,,,,,
"Star Wars",,48c14c0c2b4e38ac122d9ccdcdc8b194e15ef032,,,,,,,1993,"LucasArts | Tiertex Design Studio | U.S. Gold",us,?,,,,,,,,,,,,
"Sonic The Hedgehog: Triple Trouble",,4965af7ffe60382ffa805710b7c8006419cc4ac4,,,"Sonic the Hedgehog: Triple Trouble",,,,1994,Sega,eu-us,?,,,,,,,,,,,,
"Kuni-chan no Game Tengoku",,497f137e0f33b45a1560f51ca06b2bfaef51484a,,,,,,,1991,Sega,jp,?,,,,,,,,,,,,
"Lion King",,49f00887a297f70a51711fe18433bc168ec49fc9,,,,,,,1994,Virgin,eu,!,,,,,,,,,,,,
"Phantasy Star Gaiden",,4a53a203af8ed7542a86d6fa0db0314b047afef5,,,,,,v1.0Largefont,1992,Sega,jp,?,,,,en,,,,,,,,
"Phantasy Star Gaiden",,4a6d4c0a7ea79604193e47f246e26b77afe24483,,,"Phantasy Star Adventure",,,,1992,Sega,jp,?,,,,pt,,,,,,,,
"Captain America and the Avengers",,4b859174d57cc4a5a575f8aa9547a83d08e6c117,,,"Captain America and The Avengers",,,,1993,"Data East | Mindscape",eu-us,?,,,,,,,,,,,,
