"Group","SHA1","ID","Folder","FileName","Title","Transliterated Name","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,0833e474e491d467ac4490b75629635a78a89cb0,,,"Atom Man",@,,,19xx,Astralog,@,b,"b 1",,,,,,,,,,,
@,,084a61ad2410896ad377d3828e49c620f000069d,,,"Recall Collection 481",@,,"(Side B)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,086a2d7898a9b25bbcaa78267f8da50dcf4766ba,,,"Anim Editor",@,,"v 2.1; Copyright Freeware",1993,EDC,@,,,,,,,,,,,,,
@,,0872e96103223ceb072492543dad48e931a4c55d,,,"Signals #10",@,,"(Side B)",19xx,Synergy,@,,,,,,,,,,,,,
@,,08765df45232aeb816c215c0442ba9d2317d18cc,,,"Auto Zone",@,,,1987,Players,gb,,,,+1,,,,,,,,,
"Artur Kalandjai",,087fa5c90dccf757d1a0185cfe542a248e711ac7,,,,,,,1988,"Stevo - Mucsi",hu,,,,,,,Batya,,,,,,
@,,08960a29e3c670ddbc346023ae36a6017e7b6e78,,,"Recall Collection 128",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,08add3f2c585deb4e7c3761d3c57de0751cfca14,,,"Recall Collection 164",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,08aede385609883591a1951695e3c35229f5d4ed,,,"Coconut Swamp",@,,,19xx,@,@,,,,,,,,,,,,,
UXB_Sys6500,,08ba8c25831432b1b7c52948c439911e2f89cb18,,,,,,,,,,,,,,,,,,,,,,
@,,08bd66e43460187c493e51cf98e340bbf78b5224,,,"Recall Collection 604",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
@,,08cd3e0ad3746c6fbbfd7dc22484c6b8b1f2e3e3,,,"3D Glooper",@,,,1988,Audiogenic,gb,,,,,,,,,,,,,
Firm_Base_Sid,,08e9ede7e690c58d0cffae1390da56dfd4e667c4,,,,,,,,,,,,,,,,,,,,,,
@,,08eb348e4fa7f6338514be2ba92425963ccf0f35,,,"Recall Collection 397",@,,"(Side A)",1997,"Dailly, Mike",@,,,,,,,,,,,,,
Blackjack_Hungarian,,08f3804fc8ecf950a0ecfc9d48597f61b9ea67d0,,,,,,,,,,,,,,,,,,,,,,
"Twin Kingdom Valley",,08f3af41634f46929301a9512551b6341dde6f15,,,,,,,1989,Crown,,,,,,,1,,,,,,,
@,,08ff0c32a1a994da6950e6ae3e76c287f2111e4b,,,Driver,@,,,19xx,@,@,,,,,,,,,,,,,
@,,090130cd79a392c38d3d811b82a95bdd5b41d017,,,"Fallible FX #03",@,,"Language en; Copyright Freeware",19xx,TIT,hu,,,,,,,,,,,,,
@,,09019c1912ee2f8e37ba3c26b855529e8f9c91e4,,,"3D Grandmaster",@,,,19xx,"Robot Software",@,,,,,,,,,,,,,
