"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
Schach,,afb40a9977ef442efe7bb5880015ff65c0b90401,,,,,,,1979,SABA,,b,SABA-20,,,,,,,,,,,
"Blind Man's Bluff | Jailbreak | Maze | Trailblazer",,b53ba16c6d91e2f62e020d18445217b91907a83b,,,,,,,1977,Fairchild,,?,Fairchild-10,,,,,,,,@,,,
@,,bc2c3905d57c6af0b9d4218f682f5a8d2e58c2ca,,,Spitfire,,,proto,1976,Zircon,@,b,@,@,@,@,@,@,@,@,@,,,
@,,c08f0c570b912f95116ed6a7c820ffe9943f1032,,,"Lights Out",,,@,2004,"Riddle, Sean",@,@,@,@,@,@,@,@,@,@,@,,,
"Space War",,c1d83b1e89d11465456bd5829a85db06c4ef322f,,,,,,,1977,Zircon,,?,Fairchild-05,,,,,,,,@,,,
"!Public Domain",,c47579fed1fd533f18c679444a2cf4ef7f394ab5,,,Pac-Man,,,v11052004-b11,2004,"Blackbird | e5frog",,?,,,,,*,,,,@,,,
Schach,,cbbaa8522fee16a0cc13ed3140d41e22919da24b,,,,,,,197x,SABA,de,?,SABA-20,,,,,,,,@,,,
@,,cbe610b2bd3878e181321fc6ffb2335ae63471e2,,,"Scrolling Mountains",,,@,200x,Curtdawg,@,@,@,@,@,@,@,@,@,@,@,,,
"Pinball Challenge",,cc69feb8243e6fce3e6317bf9ea82d70a85eae1c,,,,,,,1978,Fairchild,,,Fairchild-17,,,,,,,,@,,,
Democart,,cd9204737fdc340dccb6f2af341442e8bb4712c1,,,,,,Demo,1977,Fairchild,,b,,,,,,,,,@,,,
@,,d61841bddf436c0e44b74c4e4fcc03f7ffc2e468,,,"International Karate Demo",,,@,200x,@,@,@,@,@,@,@,@,@,@,@,@,,,
@,,d82efa4977ce111425c7e186c4062f3353d5300e,,,"F8 of Nations",,,@,200x,nycurt,@,@,@,@,@,@,@,@,@,@,@,,,
